antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,antecedent_size,consequent_size,consequent_item,count,antecedent_count,antecedents_str,reliability,target_score,count_score,lift_score,recommendation_score,strength_score,recommendation_text
frozenset({'hashtag=cake'}),frozenset({'performance=avg_view_rate'}),0.09210526315789473,0.18421052631578946,0.039473684210526314,0.42857142857142855,2.326530612244898,0.022506925207756233,1.4276315789473684,0.6280193236714976,1,1,performance=avg_view_rate,3,7,{hashtag=cake},weak,0.6,0.3,0.7755102040816326,0.5176530612244898,0.9970845481049562,"Try using {hashtag=cake}. This pattern appeared in 7 posts and 3 reached avg_view_rate. Confidence: 42.9%, lift: 2.33x. Reliability: weak. Small sample size, treat as experiment."
frozenset({'hashtag=cake'}),frozenset({'performance=low_view_rate'}),0.09210526315789473,0.5131578947368421,0.05263157894736842,0.5714285714285714,1.1135531135531134,0.00536703601108033,1.1359649122807016,0.11231884057971009,1,1,performance=low_view_rate,4,7,{hashtag=cake},weak,-1.0,0.4,0.37118437118437114,0.31135531135531136,0.6363160648874934,"Try using {hashtag=cake}. This pattern appeared in 7 posts and 4 reached low_view_rate. Confidence: 57.1%, lift: 1.11x. Reliability: weak. This was associated with low_view_rate, but this is not proof of causality."
frozenset({'hashtag=coffee'}),frozenset({'performance=avg_view_rate'}),0.10526315789473684,0.18421052631578946,0.06578947368421052,0.625,3.3928571428571432,0.046398891966759004,2.175438596491228,0.788235294117647,1,1,performance=avg_view_rate,5,8,{hashtag=coffee},medium,0.6,0.5,1.0,0.7037500000000001,2.1205357142857144,"Try using {hashtag=coffee}. This pattern appeared in 8 posts and 5 reached avg_view_rate. Confidence: 62.5%, lift: 3.39x. Reliability: medium. Treat this as promising but continue testing."
frozenset({'hashtag=coffee'}),frozenset({'performance=low_view_rate'}),0.10526315789473684,0.5131578947368421,0.039473684210526314,0.375,0.7307692307692307,-0.01454293628808865,0.7789473684210526,-0.2916666666666668,1,1,performance=low_view_rate,3,8,{hashtag=coffee},weak,-1.0,0.3,0.24358974358974358,0.17932692307692302,0.2740384615384615,"Try using {hashtag=coffee}. This pattern appeared in 8 posts and 3 reached low_view_rate. Confidence: 37.5%, lift: 0.73x. Reliability: weak. This was associated with low_view_rate, but this is not proof of causality."
frozenset({'hashtag=dessert'}),frozenset({'performance=high_view_rate'}),0.07894736842105263,0.3026315789473684,0.05263157894736842,0.6666666666666666,2.2028985507246377,0.02873961218836565,2.0921052631578947,0.5928571428571429,1,1,performance=high_view_rate,4,6,{hashtag=dessert},weak,1.0,0.4,0.7342995169082126,0.653623188405797,1.468599033816425,"Try using {hashtag=dessert}. This pattern appeared in 6 posts and 4 reached high_view_rate. Confidence: 66.7%, lift: 2.20x. Reliability: weak. Small sample size, treat as experiment."
frozenset({'hashtag=dessert'}),frozenset({'performance=low_view_rate'}),0.07894736842105263,0.5131578947368421,0.02631578947368421,0.3333333333333333,0.6495726495726495,-0.014196675900277012,0.7302631578947367,-0.3693693693693694,1,1,performance=low_view_rate,2,6,{hashtag=dessert},weak,-1.0,0.2,0.2165242165242165,0.13162393162393157,0.2165242165242165,"Try using {hashtag=dessert}. This pattern appeared in 6 posts and 2 reached low_view_rate. Confidence: 33.3%, lift: 0.65x. Reliability: weak. This was associated with low_view_rate, but this is not proof of causality."
frozenset({'hashtag=desserts'}),frozenset({'performance=low_view_rate'}),0.05263157894736842,0.5131578947368421,0.05263157894736842,1.0,1.9487179487179485,0.025623268698060937,inf,0.5138888888888887,1,1,performance=low_view_rate,4,4,{hashtag=desserts},experimental,-1.0,0.4,0.6495726495726495,0.5448717948717948,1.9487179487179485,"Try using {hashtag=desserts}. This pattern appeared in 4 posts and 4 reached low_view_rate. Confidence: 100.0%, lift: 1.95x. Reliability: experimental. This was associated with low_view_rate, but this is not proof of causality."
frozenset({'hashtag=food'}),frozenset({'performance=low_view_rate'}),0.02631578947368421,0.5131578947368421,0.02631578947368421,1.0,1.9487179487179485,0.012811634349030468,inf,0.49999999999999994,1,1,performance=low_view_rate,2,2,{hashtag=food},weak,-1.0,0.2,0.6495726495726495,0.4948717948717949,1.9487179487179485,"Try using {hashtag=food}. This pattern appeared in 2 posts and 2 reached low_view_rate. Confidence: 100.0%, lift: 1.95x. Reliability: weak. This was associated with low_view_rate, but this is not proof of causality."
frozenset({'hashtag=happymothersday'}),frozenset({'performance=high_view_rate'}),0.039473684210526314,0.3026315789473684,0.02631578947368421,0.6666666666666666,2.2028985507246377,0.014369806094182825,2.0921052631578947,0.5684931506849316,1,1,performance=high_view_rate,2,3,{hashtag=happymothersday},weak,1.0,0.2,0.7342995169082126,0.6036231884057971,1.468599033816425,"Try using {hashtag=happymothersday}. This pattern appeared in 3 posts and 2 reached high_view_rate. Confidence: 66.7%, lift: 2.20x. Reliability: weak. Small sample size, treat as experiment."
frozenset({'hashtag=morning'}),frozenset({'performance=avg_view_rate'}),0.02631578947368421,0.18421052631578946,0.02631578947368421,1.0,5.428571428571429,0.02146814404432133,inf,0.8378378378378379,1,1,performance=avg_view_rate,2,2,{hashtag=morning},weak,0.6,0.2,1.0,0.76,5.428571428571429,"Try using {hashtag=morning}. This pattern appeared in 2 posts and 2 reached avg_view_rate. Confidence: 100.0%, lift: 5.43x. Reliability: weak. Small sample size, treat as experiment."
