caption_text,hashtags,likes_count,comments_count,views_count,post_type,language,_clean_text,topic_id,topic_probability,business_label,topic_description
great coffee offer today,#food #offer,10,1,100,post,English,great coffee today,1,1.0,Best Shawarma Best,Keyword-driven content theme detected from captions.
new menu launch this week,#food #offer,11,2,105,reel,English,new menu launch this week,0,1.0,Brunch Brunch Deal,Keyword-driven content theme detected from captions.
weekend family brunch deal,#food #offer,12,3,110,post,English,weekend family brunch deal,0,0.7491789471748456,Brunch Brunch Deal,Keyword-driven content theme detected from captions.
try our signature dessert,#food #offer,13,4,115,reel,English,try our signature dessert,1,1.0,Best Shawarma Best,Keyword-driven content theme detected from captions.
fresh ingredients every day,#food #offer,14,1,120,post,English,fresh ingredients every day,0,1.0,Brunch Brunch Deal,Keyword-driven content theme detected from captions.
discount on lunch combo,#food #offer,15,2,125,reel,English,discount on lunch combo,0,0.6206197100797164,Brunch Brunch Deal,Keyword-driven content theme detected from captions.
best shawarma in town,#food #offer,16,3,130,post,English,best shawarma in town,1,1.0,Best Shawarma Best,Keyword-driven content theme detected from captions.
happy hour drinks now,#food #offer,17,4,135,reel,English,happy hour drinks now,1,0.6356383256017285,Best Shawarma Best,Keyword-driven content theme detected from captions.
order online with free delivery,#food #offer,18,1,140,post,English,order online with free delivery,0,0.5855707937215521,Brunch Brunch Deal,Keyword-driven content theme detected from captions.
limited time dinner package,#food #offer,19,2,145,reel,English,limited time dinner package,0,1.0,Brunch Brunch Deal,Keyword-driven content theme detected from captions.
chef special seafood platter,#food #offer,20,3,150,post,English,chef special seafood platter,0,1.0,Brunch Brunch Deal,Keyword-driven content theme detected from captions.
book your table for tonight,#food #offer,21,4,155,reel,English,book your table for tonight,1,0.5655282828552531,Best Shawarma Best,Keyword-driven content theme detected from captions.
