antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,antecedent_size,consequent_size,consequent_item,count,antecedent_count,antecedents_str,hashtags_clean,reliability,target_score,count_score,lift_score,reliability_score,strength_score,recommendation_score,antecedent_len,recommendation_text,category_col,category_value,action,source,hashtag,high_rate,avg_rate,low_rate,high_lift_like,low_lift_like,fallback_score,recommendation_type
frozenset({'hashtag=morning'}),frozenset({'performance=avg_view_rate'}),0.08333333333333333,0.4166666666666667,0.08333333333333333,1.0,2.4,0.048611111111111105,inf,0.6363636363636364,1.0,1.0,performance=avg_view_rate,2,2.0,{hashtag=morning},morning,directional,0.55,0.25,0.7,0.6,2.4,0.6475,1.0,"Use/test: morning. It appeared in 2 posts; 2 were avg_view_rate. Confidence=100%, lift=2.40x, reliability=directional.",sector,Cafe,use,association_rule_category,,,,,,,,
frozenset({'hashtag=الصباح'}),frozenset({'performance=avg_view_rate'}),0.08333333333333333,0.4166666666666667,0.08333333333333333,1.0,2.4,0.048611111111111105,inf,0.6363636363636364,1.0,1.0,performance=avg_view_rate,2,2.0,{hashtag=الصباح},الصباح,directional,0.55,0.25,0.7,0.6,2.4,0.6475,1.0,"Use/test: الصباح. It appeared in 2 posts; 2 were avg_view_rate. Confidence=100%, lift=2.40x, reliability=directional.",sector,Cafe,use,association_rule_category,,,,,,,,
"frozenset({'hashtag=coffee', 'hashtag=morning'})",frozenset({'performance=avg_view_rate'}),0.08333333333333333,0.4166666666666667,0.08333333333333333,1.0,2.4,0.048611111111111105,inf,0.6363636363636364,2.0,1.0,performance=avg_view_rate,2,2.0,"{hashtag=coffee, hashtag=morning}","coffee, morning",directional,0.55,0.25,0.7,0.6,2.4,0.6475,2.0,"Use/test: coffee, morning. It appeared in 2 posts; 2 were avg_view_rate. Confidence=100%, lift=2.40x, reliability=directional.",sector,Cafe,use,association_rule_category,,,,,,,,
"frozenset({'hashtag=الصباح', 'hashtag=coffee'})",frozenset({'performance=avg_view_rate'}),0.08333333333333333,0.4166666666666667,0.08333333333333333,1.0,2.4,0.048611111111111105,inf,0.6363636363636364,2.0,1.0,performance=avg_view_rate,2,2.0,"{hashtag=coffee, hashtag=الصباح}","coffee, الصباح",directional,0.55,0.25,0.7,0.6,2.4,0.6475,2.0,"Use/test: coffee, الصباح. It appeared in 2 posts; 2 were avg_view_rate. Confidence=100%, lift=2.40x, reliability=directional.",sector,Cafe,use,association_rule_category,,,,,,,,
"frozenset({'hashtag=فانيلا', 'hashtag=coffee'})",frozenset({'performance=avg_view_rate'}),0.08333333333333333,0.4166666666666667,0.08333333333333333,1.0,2.4,0.048611111111111105,inf,0.6363636363636364,2.0,1.0,performance=avg_view_rate,2,2.0,"{hashtag=coffee, hashtag=فانيلا}","coffee, فانيلا",directional,0.55,0.25,0.7,0.6,2.4,0.6475,2.0,"Use/test: coffee, فانيلا. It appeared in 2 posts; 2 were avg_view_rate. Confidence=100%, lift=2.40x, reliability=directional.",sector,Cafe,use,association_rule_category,,,,,,,,
frozenset({'hashtag=desserts'}),frozenset({'performance=low_view_rate'}),0.16666666666666666,0.5416666666666666,0.16666666666666666,1.0,1.8461538461538463,0.0763888888888889,inf,0.55,1.0,1.0,performance=low_view_rate,4,4.0,{hashtag=desserts},desserts,directional,-1.0,0.5,0.42307692307692313,0.6,1.8461538461538463,0.4996153846153846,,"Avoid or test carefully: desserts. It appeared in 4 posts; 4 were low_view_rate. Confidence=100%, lift=1.85x, reliability=directional. This is a risk signal, not proof of causality.",sector,Cafe,avoid,association_rule_category,,,,,,,,
"frozenset({'hashtag=today_and_everyday', 'hashtag=desserts'})",frozenset({'performance=low_view_rate'}),0.16666666666666666,0.5416666666666666,0.16666666666666666,1.0,1.8461538461538463,0.0763888888888889,inf,0.55,2.0,1.0,performance=low_view_rate,4,4.0,"{hashtag=desserts, hashtag=today_and_everyday}","desserts, today_and_everyday",directional,-1.0,0.5,0.42307692307692313,0.6,1.8461538461538463,0.4996153846153846,,"Avoid or test carefully: desserts, today_and_everyday. It appeared in 4 posts; 4 were low_view_rate. Confidence=100%, lift=1.85x, reliability=directional. This is a risk signal, not proof of causality.",sector,Cafe,avoid,association_rule_category,,,,,,,,
"frozenset({'hashtag=كيك', 'hashtag=desserts'})",frozenset({'performance=low_view_rate'}),0.16666666666666666,0.5416666666666666,0.16666666666666666,1.0,1.8461538461538463,0.0763888888888889,inf,0.55,2.0,1.0,performance=low_view_rate,4,4.0,"{hashtag=desserts, hashtag=كيك}","desserts, كيك",directional,-1.0,0.5,0.42307692307692313,0.6,1.8461538461538463,0.4996153846153846,,"Avoid or test carefully: desserts, كيك. It appeared in 4 posts; 4 were low_view_rate. Confidence=100%, lift=1.85x, reliability=directional. This is a risk signal, not proof of causality.",sector,Cafe,avoid,association_rule_category,,,,,,,,
"frozenset({'hashtag=today_and_everyday', 'hashtag=كيك', 'hashtag=desserts'})",frozenset({'performance=low_view_rate'}),0.16666666666666666,0.5416666666666666,0.16666666666666666,1.0,1.8461538461538463,0.0763888888888889,inf,0.55,3.0,1.0,performance=low_view_rate,4,4.0,"{hashtag=desserts, hashtag=today_and_everyday, hashtag=كيك}","desserts, today_and_everyday, كيك",directional,-1.0,0.5,0.42307692307692313,0.6,1.8461538461538463,0.4996153846153846,,"Avoid or test carefully: desserts, today_and_everyday, كيك. It appeared in 4 posts; 4 were low_view_rate. Confidence=100%, lift=1.85x, reliability=directional. This is a risk signal, not proof of causality.",sector,Cafe,avoid,association_rule_category,,,,,,,,
"frozenset({'hashtag=desserts', 'hashtag=cake'})",frozenset({'performance=low_view_rate'}),0.125,0.5416666666666666,0.125,1.0,1.8461538461538463,0.05729166666666667,inf,0.5238095238095238,2.0,1.0,performance=low_view_rate,3,3.0,"{hashtag=cake, hashtag=desserts}","cake, desserts",directional,-1.0,0.375,0.42307692307692313,0.6,1.8461538461538463,0.4683653846153847,,"Avoid or test carefully: cake, desserts. It appeared in 3 posts; 3 were low_view_rate. Confidence=100%, lift=1.85x, reliability=directional. This is a risk signal, not proof of causality.",sector,Cafe,avoid,association_rule_category,,,,,,,,
