antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,antecedent_size,consequent_size,consequent_item,count,antecedent_count,antecedents_str,hashtags_clean,reliability,target_score,count_score,lift_score,reliability_score,strength_score,recommendation_score,recommendation_text
frozenset({'hashtag=desserts'}),frozenset({'performance=low_view_rate'}),0.05263157894736842,0.5131578947368421,0.05263157894736842,1.0,1.9487179487179485,0.025623268698060937,inf,0.5138888888888887,1,1,performance=low_view_rate,4,4,{hashtag=desserts},desserts,directional,-1.0,0.4,0.47435897435897423,0.6,1.9487179487179485,0.4848717948717949,"Avoid or test carefully: desserts. It appeared in 4 posts; 4 were low_view_rate. Confidence=100%, lift=1.95x, reliability=directional. This is a risk signal, not proof of causality."
"frozenset({'hashtag=today_and_everyday', 'hashtag=desserts'})",frozenset({'performance=low_view_rate'}),0.05263157894736842,0.5131578947368421,0.05263157894736842,1.0,1.9487179487179485,0.025623268698060937,inf,0.5138888888888887,2,1,performance=low_view_rate,4,4,"{hashtag=desserts, hashtag=today_and_everyday}","desserts, today_and_everyday",directional,-1.0,0.4,0.47435897435897423,0.6,1.9487179487179485,0.4848717948717949,"Avoid or test carefully: desserts, today_and_everyday. It appeared in 4 posts; 4 were low_view_rate. Confidence=100%, lift=1.95x, reliability=directional. This is a risk signal, not proof of causality."
"frozenset({'hashtag=كيك', 'hashtag=desserts'})",frozenset({'performance=low_view_rate'}),0.05263157894736842,0.5131578947368421,0.05263157894736842,1.0,1.9487179487179485,0.025623268698060937,inf,0.5138888888888887,2,1,performance=low_view_rate,4,4,"{hashtag=desserts, hashtag=كيك}","desserts, كيك",directional,-1.0,0.4,0.47435897435897423,0.6,1.9487179487179485,0.4848717948717949,"Avoid or test carefully: desserts, كيك. It appeared in 4 posts; 4 were low_view_rate. Confidence=100%, lift=1.95x, reliability=directional. This is a risk signal, not proof of causality."
"frozenset({'hashtag=today_and_everyday', 'hashtag=كيك', 'hashtag=desserts'})",frozenset({'performance=low_view_rate'}),0.05263157894736842,0.5131578947368421,0.05263157894736842,1.0,1.9487179487179485,0.025623268698060937,inf,0.5138888888888887,3,1,performance=low_view_rate,4,4,"{hashtag=desserts, hashtag=today_and_everyday, hashtag=كيك}","desserts, today_and_everyday, كيك",directional,-1.0,0.4,0.47435897435897423,0.6,1.9487179487179485,0.4848717948717949,"Avoid or test carefully: desserts, today_and_everyday, كيك. It appeared in 4 posts; 4 were low_view_rate. Confidence=100%, lift=1.95x, reliability=directional. This is a risk signal, not proof of causality."
"frozenset({'hashtag=cake', 'hashtag=desserts'})",frozenset({'performance=low_view_rate'}),0.039473684210526314,0.5131578947368421,0.039473684210526314,1.0,1.9487179487179485,0.019217451523545703,inf,0.5068493150684931,2,1,performance=low_view_rate,3,3,"{hashtag=cake, hashtag=desserts}","cake, desserts",directional,-1.0,0.3,0.47435897435897423,0.6,1.9487179487179485,0.45987179487179486,"Avoid or test carefully: cake, desserts. It appeared in 3 posts; 3 were low_view_rate. Confidence=100%, lift=1.95x, reliability=directional. This is a risk signal, not proof of causality."
"frozenset({'hashtag=today_and_everyday', 'hashtag=cake', 'hashtag=desserts'})",frozenset({'performance=low_view_rate'}),0.039473684210526314,0.5131578947368421,0.039473684210526314,1.0,1.9487179487179485,0.019217451523545703,inf,0.5068493150684931,3,1,performance=low_view_rate,3,3,"{hashtag=cake, hashtag=desserts, hashtag=today_and_everyday}","cake, desserts, today_and_everyday",directional,-1.0,0.3,0.47435897435897423,0.6,1.9487179487179485,0.45987179487179486,"Avoid or test carefully: cake, desserts, today_and_everyday. It appeared in 3 posts; 3 were low_view_rate. Confidence=100%, lift=1.95x, reliability=directional. This is a risk signal, not proof of causality."
"frozenset({'hashtag=cake', 'hashtag=كيك', 'hashtag=desserts'})",frozenset({'performance=low_view_rate'}),0.039473684210526314,0.5131578947368421,0.039473684210526314,1.0,1.9487179487179485,0.019217451523545703,inf,0.5068493150684931,3,1,performance=low_view_rate,3,3,"{hashtag=cake, hashtag=desserts, hashtag=كيك}","cake, desserts, كيك",directional,-1.0,0.3,0.47435897435897423,0.6,1.9487179487179485,0.45987179487179486,"Avoid or test carefully: cake, desserts, كيك. It appeared in 3 posts; 3 were low_view_rate. Confidence=100%, lift=1.95x, reliability=directional. This is a risk signal, not proof of causality."
"frozenset({'hashtag=vanilla', 'hashtag=cake'})",frozenset({'performance=low_view_rate'}),0.05263157894736842,0.5131578947368421,0.039473684210526314,0.75,1.4615384615384615,0.012465373961218832,1.9473684210526314,0.33333333333333326,2,1,performance=low_view_rate,3,4,"{hashtag=cake, hashtag=vanilla}","cake, vanilla",directional,-1.0,0.3,0.23076923076923073,0.6,1.096153846153846,0.33615384615384614,"Avoid or test carefully: cake, vanilla. It appeared in 4 posts; 3 were low_view_rate. Confidence=75%, lift=1.46x, reliability=directional. This is a risk signal, not proof of causality."
"frozenset({'hashtag=كيك', 'hashtag=vanilla'})",frozenset({'performance=low_view_rate'}),0.05263157894736842,0.5131578947368421,0.039473684210526314,0.75,1.4615384615384615,0.012465373961218832,1.9473684210526314,0.33333333333333326,2,1,performance=low_view_rate,3,4,"{hashtag=vanilla, hashtag=كيك}","vanilla, كيك",directional,-1.0,0.3,0.23076923076923073,0.6,1.096153846153846,0.33615384615384614,"Avoid or test carefully: vanilla, كيك. It appeared in 4 posts; 3 were low_view_rate. Confidence=75%, lift=1.46x, reliability=directional. This is a risk signal, not proof of causality."
"frozenset({'hashtag=today_and_everyday', 'hashtag=vanilla', 'hashtag=cake'})",frozenset({'performance=low_view_rate'}),0.05263157894736842,0.5131578947368421,0.039473684210526314,0.75,1.4615384615384615,0.012465373961218832,1.9473684210526314,0.33333333333333326,3,1,performance=low_view_rate,3,4,"{hashtag=cake, hashtag=today_and_everyday, hashtag=vanilla}","cake, today_and_everyday, vanilla",directional,-1.0,0.3,0.23076923076923073,0.6,1.096153846153846,0.33615384615384614,"Avoid or test carefully: cake, today_and_everyday, vanilla. It appeared in 4 posts; 3 were low_view_rate. Confidence=75%, lift=1.46x, reliability=directional. This is a risk signal, not proof of causality."
