caption_text,hashtags,likes_count,comments_count,views_count,post_type,language,_clean_text,topic_id,topic_probability,business_label,topic_description
great coffee offer today,#coffee,10,1,100,post,English,great offer today,1,1.0,Deal Try Family,Keyword-driven content theme detected from captions.
new menu launch this week,#menu,15,2,140,reel,English,new launch this week,1,1.0,Deal Try Family,Keyword-driven content theme detected from captions.
weekend family brunch deal,#brunch,12,3,130,post,English,weekend family deal,1,0.5238564349675369,Deal Try Family,Keyword-driven content theme detected from captions.
try our signature dessert,#dessert,9,1,90,story,English,try our signature,1,0.6260977720685836,Deal Try Family,Keyword-driven content theme detected from captions.
fresh ingredients every day,#fresh,11,2,120,reel,English,ingredients every day,0,1.0,Book Book Table,Keyword-driven content theme detected from captions.
discount on lunch combo,#discount,20,4,200,post,English,on lunch combo,0,1.0,Book Book Table,Keyword-driven content theme detected from captions.
best shawarma in town,#shawarma,18,2,180,reel,English,best in town,1,1.0,Deal Try Family,Keyword-driven content theme detected from captions.
happy hour drinks now,#happyhour,14,2,160,story,English,happy hour drinks now,0,0.5229728811018165,Book Book Table,Keyword-driven content theme detected from captions.
order online with free delivery,#delivery,22,5,240,post,English,order online with free,0,0.566503202018873,Book Book Table,Keyword-driven content theme detected from captions.
limited time dinner package,#dinner,17,2,170,reel,English,limited time package,0,0.4762126232563254,Book Book Table,Keyword-driven content theme detected from captions.
chef special seafood platter,#seafood,13,2,150,post,English,chef special platter,0,1.0,Book Book Table,Keyword-driven content theme detected from captions.
book your table for tonight,#booking,16,3,175,story,English,book your table for tonight,0,0.7068487329357306,Book Book Table,Keyword-driven content theme detected from captions.
