antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,antecedent_size,consequent_size,consequent_item,count,antecedent_count,antecedents_str,hashtags_clean,reliability,target_score,count_score,lift_score,reliability_score,strength_score,recommendation_score,recommendation_text
frozenset({'hashtag=cake'}),frozenset({'performance=avg_view_rate'}),0.09210526315789473,0.18421052631578946,0.039473684210526314,0.42857142857142855,2.326530612244898,0.022506925207756233,1.4276315789473684,0.6280193236714976,1,1,performance=avg_view_rate,3,7,{hashtag=cake},cake,directional,0.55,0.3,0.6632653061224489,0.6,0.9970845481049562,0.4812244897959183,"Use/test: cake. It appeared in 7 posts; 3 were avg_view_rate. Confidence=43%, lift=2.33x, reliability=directional."
frozenset({'hashtag=cake'}),frozenset({'performance=low_view_rate'}),0.09210526315789473,0.5131578947368421,0.05263157894736842,0.5714285714285714,1.1135531135531134,0.00536703601108033,1.1359649122807016,0.11231884057971009,1,1,performance=low_view_rate,4,7,{hashtag=cake},cake,weak,-1.0,0.4,0.056776556776556686,0.1,0.6363160648874934,0.19778388278388273,"Use/test: cake. It appeared in 7 posts; 4 were low_view_rate. Confidence=57%, lift=1.11x, reliability=weak."
frozenset({'hashtag=coffee'}),frozenset({'performance=avg_view_rate'}),0.10526315789473684,0.18421052631578946,0.06578947368421052,0.625,3.3928571428571432,0.046398891966759004,2.175438596491228,0.788235294117647,1,1,performance=avg_view_rate,5,8,{hashtag=coffee},coffee,directional,0.55,0.5,1.0,0.6,2.1205357142857144,0.6575,"Use/test: coffee. It appeared in 8 posts; 5 were avg_view_rate. Confidence=62%, lift=3.39x, reliability=directional."
frozenset({'hashtag=coffee'}),frozenset({'performance=low_view_rate'}),0.10526315789473684,0.5131578947368421,0.039473684210526314,0.375,0.7307692307692307,-0.01454293628808865,0.7789473684210526,-0.2916666666666668,1,1,performance=low_view_rate,3,8,{hashtag=coffee},coffee,weak,-1.0,0.3,0.0,0.1,0.2740384615384615,0.10250000000000001,"Use/test: coffee. It appeared in 8 posts; 3 were low_view_rate. Confidence=38%, lift=0.73x, reliability=weak."
frozenset({'hashtag=dessert'}),frozenset({'performance=high_view_rate'}),0.07894736842105263,0.3026315789473684,0.05263157894736842,0.6666666666666666,2.2028985507246377,0.02873961218836565,2.0921052631578947,0.5928571428571429,1,1,performance=high_view_rate,4,6,{hashtag=dessert},dessert,directional,1.0,0.4,0.6014492753623188,0.6,1.468599033816425,0.6102898550724637,"Use/test: dessert. It appeared in 6 posts; 4 were high_view_rate. Confidence=67%, lift=2.20x, reliability=directional."
frozenset({'hashtag=desserts'}),frozenset({'performance=low_view_rate'}),0.05263157894736842,0.5131578947368421,0.05263157894736842,1.0,1.9487179487179485,0.025623268698060937,inf,0.5138888888888887,1,1,performance=low_view_rate,4,4,{hashtag=desserts},desserts,directional,-1.0,0.4,0.47435897435897423,0.6,1.9487179487179485,0.4848717948717949,"Use/test: desserts. It appeared in 4 posts; 4 were low_view_rate. Confidence=100%, lift=1.95x, reliability=directional."
frozenset({'hashtag=food'}),frozenset({'performance=low_view_rate'}),0.02631578947368421,0.5131578947368421,0.02631578947368421,1.0,1.9487179487179485,0.012811634349030468,inf,0.49999999999999994,1,1,performance=low_view_rate,2,2,{hashtag=food},food,weak,-1.0,0.2,0.47435897435897423,0.1,1.9487179487179485,0.3598717948717949,"Use/test: food. It appeared in 2 posts; 2 were low_view_rate. Confidence=100%, lift=1.95x, reliability=weak."
frozenset({'hashtag=happymothersday'}),frozenset({'performance=high_view_rate'}),0.039473684210526314,0.3026315789473684,0.02631578947368421,0.6666666666666666,2.2028985507246377,0.014369806094182825,2.0921052631578947,0.5684931506849316,1,1,performance=high_view_rate,2,3,{hashtag=happymothersday},happymothersday,weak,1.0,0.2,0.6014492753623188,0.1,1.468599033816425,0.4852898550724638,"Use/test: happymothersday. It appeared in 3 posts; 2 were high_view_rate. Confidence=67%, lift=2.20x, reliability=weak."
frozenset({'hashtag=morning'}),frozenset({'performance=avg_view_rate'}),0.02631578947368421,0.18421052631578946,0.02631578947368421,1.0,5.428571428571429,0.02146814404432133,inf,0.8378378378378379,1,1,performance=avg_view_rate,2,2,{hashtag=morning},morning,weak,0.55,0.2,1.0,0.1,5.428571428571429,0.6200000000000001,"Use/test: morning. It appeared in 2 posts; 2 were avg_view_rate. Confidence=100%, lift=5.43x, reliability=weak."
frozenset({'hashtag=mothersday'}),frozenset({'performance=high_view_rate'}),0.039473684210526314,0.3026315789473684,0.02631578947368421,0.6666666666666666,2.2028985507246377,0.014369806094182825,2.0921052631578947,0.5684931506849316,1,1,performance=high_view_rate,2,3,{hashtag=mothersday},mothersday,weak,1.0,0.2,0.6014492753623188,0.1,1.468599033816425,0.4852898550724638,"Use/test: mothersday. It appeared in 3 posts; 2 were high_view_rate. Confidence=67%, lift=2.20x, reliability=weak."
frozenset({'hashtag=ramadan2025'}),frozenset({'performance=high_view_rate'}),0.06578947368421052,0.3026315789473684,0.02631578947368421,0.4,1.3217391304347827,0.006405817174515237,1.1622807017543861,0.26056338028169024,1,1,performance=high_view_rate,2,5,{hashtag=ramadan2025},ramadan2025,weak,1.0,0.2,0.16086956521739137,0.1,0.5286956521739131,0.3171739130434783,"Use/test: ramadan2025. It appeared in 5 posts; 2 were high_view_rate. Confidence=40%, lift=1.32x, reliability=weak."
frozenset({'hashtag=ramadan2025'}),frozenset({'performance=low_view_rate'}),0.06578947368421052,0.5131578947368421,0.039473684210526314,0.6,1.169230769230769,0.005713296398891961,1.2171052631578945,0.15492957746478855,1,1,performance=low_view_rate,3,5,{hashtag=ramadan2025},ramadan2025,directional,-1.0,0.3,0.08461538461538454,0.6,0.7015384615384614,0.2619230769230769,"Use/test: ramadan2025. It appeared in 5 posts; 3 were low_view_rate. Confidence=60%, lift=1.17x, reliability=directional."
frozenset({'hashtag=ramadankareem'}),frozenset({'performance=high_view_rate'}),0.07894736842105263,0.3026315789473684,0.039473684210526314,0.5,1.6521739130434783,0.015581717451523546,1.3947368421052633,0.4285714285714286,1,1,performance=high_view_rate,3,6,{hashtag=ramadankareem},ramadankareem,directional,1.0,0.3,0.32608695652173914,0.6,0.8260869565217391,0.4802173913043478,"Use/test: ramadankareem. It appeared in 6 posts; 3 were high_view_rate. Confidence=50%, lift=1.65x, reliability=directional."
frozenset({'hashtag=ramadankareem'}),frozenset({'performance=low_view_rate'}),0.07894736842105263,0.5131578947368421,0.039473684210526314,0.5,0.9743589743589742,-0.001038781163434907,0.9736842105263157,-0.027777777777777887,1,1,performance=low_view_rate,3,6,{hashtag=ramadankareem},ramadankareem,weak,-1.0,0.3,0.0,0.1,0.4871794871794871,0.13999999999999999,"Use/test: ramadankareem. It appeared in 6 posts; 3 were low_view_rate. Confidence=50%, lift=0.97x, reliability=weak."
frozenset({'hashtag=today_and_everyday'}),frozenset({'performance=avg_view_rate'}),0.21052631578947367,0.18421052631578946,0.09210526315789473,0.4375,2.375,0.05332409972299169,1.4502923976608186,0.7333333333333333,1,1,performance=avg_view_rate,7,16,{hashtag=today_and_everyday},today_and_everyday,directional,0.55,0.7,0.6875,0.6,1.0390625,0.5887500000000001,"Use/test: today_and_everyday. It appeared in 16 posts; 7 were avg_view_rate. Confidence=44%, lift=2.38x, reliability=directional."
frozenset({'hashtag=today_and_everyday'}),frozenset({'performance=low_view_rate'}),0.21052631578947367,0.5131578947368421,0.11842105263157894,0.5625,1.096153846153846,0.010387811634349015,1.112781954887218,0.11111111111111095,1,1,performance=low_view_rate,9,16,{hashtag=today_and_everyday},today_and_everyday,weak,-1.0,0.9,0.04807692307692302,0.1,0.6165865384615384,0.31836538461538455,"Use/test: today_and_everyday. It appeared in 16 posts; 9 were low_view_rate. Confidence=56%, lift=1.10x, reliability=weak."
frozenset({'hashtag=todayandeveryday'}),frozenset({'performance=high_view_rate'}),0.02631578947368421,0.3026315789473684,0.02631578947368421,1.0,3.3043478260869565,0.01835180055401662,inf,0.7162162162162162,1,1,performance=high_view_rate,2,2,{hashtag=todayandeveryday},todayandeveryday,weak,1.0,0.2,1.0,0.1,3.3043478260869565,0.665,"Use/test: todayandeveryday. It appeared in 2 posts; 2 were high_view_rate. Confidence=100%, lift=3.30x, reliability=weak."
frozenset({'hashtag=vanilla'}),frozenset({'performance=high_view_rate'}),0.25,0.3026315789473684,0.10526315789473684,0.42105263157894735,1.391304347826087,0.02960526315789473,1.2045454545454546,0.37499999999999994,1,1,performance=high_view_rate,8,19,{hashtag=vanilla},vanilla,directional,1.0,0.8,0.19565217391304346,0.6,0.585812356979405,0.5554462242562929,"Use/test: vanilla. It appeared in 19 posts; 8 were high_view_rate. Confidence=42%, lift=1.39x, reliability=directional."
frozenset({'hashtag=vanilla_cake'}),frozenset({'performance=high_view_rate'}),0.09210526315789473,0.3026315789473684,0.05263157894736842,0.5714285714285714,1.8881987577639752,0.024757617728531855,1.6271929824561404,0.5181159420289855,1,1,performance=high_view_rate,4,7,{hashtag=vanilla_cake},vanilla_cake,directional,1.0,0.4,0.4440993788819876,0.6,1.0789707187222715,0.5502484472049689,"Use/test: vanilla_cake. It appeared in 7 posts; 4 were high_view_rate. Confidence=57%, lift=1.89x, reliability=directional."
frozenset({'hashtag=vanilla_cake'}),frozenset({'performance=low_view_rate'}),0.09210526315789473,0.5131578947368421,0.039473684210526314,0.42857142857142855,0.8351648351648351,-0.007790858725761775,0.8519736842105263,-0.1785714285714286,1,1,performance=low_view_rate,3,7,{hashtag=vanilla_cake},vanilla_cake,weak,-1.0,0.3,0.0,0.1,0.35792778649921503,0.11857142857142858,"Use/test: vanilla_cake. It appeared in 7 posts; 3 were low_view_rate. Confidence=43%, lift=0.84x, reliability=weak."
frozenset({'hashtag=vanilla_today_and_everyday'}),frozenset({'performance=high_view_rate'}),0.4473684210526316,0.3026315789473684,0.21052631578947367,0.47058823529411764,1.5549872122762147,0.07513850415512463,1.3172514619883042,0.6458333333333333,1,1,performance=high_view_rate,16,34,{hashtag=vanilla_today_and_everyday},vanilla_today_and_everyday,directional,1.0,1.0,0.27749360613810736,0.6,0.7317586881299833,0.6366751918158567,"Use/test: vanilla_today_and_everyday. It appeared in 34 posts; 16 were high_view_rate. Confidence=47%, lift=1.55x, reliability=directional."
frozenset({'hashtag=vanilla_today_and_everyday'}),frozenset({'performance=low_view_rate'}),0.4473684210526316,0.5131578947368421,0.18421052631578946,0.4117647058823529,0.8024132730015082,-0.04536011080332414,0.8276315789473683,-0.3082352941176473,1,1,performance=low_view_rate,14,34,{hashtag=vanilla_today_and_everyday},vanilla_today_and_everyday,weak,-1.0,1.0,0.0,0.1,0.3304054653535622,0.2885294117647059,"Use/test: vanilla_today_and_everyday. It appeared in 34 posts; 14 were low_view_rate. Confidence=41%, lift=0.80x, reliability=weak."
frozenset({'hashtag=الصباح'}),frozenset({'performance=avg_view_rate'}),0.02631578947368421,0.18421052631578946,0.02631578947368421,1.0,5.428571428571429,0.02146814404432133,inf,0.8378378378378379,1,1,performance=avg_view_rate,2,2,{hashtag=الصباح},الصباح,weak,0.55,0.2,1.0,0.1,5.428571428571429,0.6200000000000001,"Use/test: الصباح. It appeared in 2 posts; 2 were avg_view_rate. Confidence=100%, lift=5.43x, reliability=weak."
frozenset({'hashtag=اليوم_وكل_يوم'}),frozenset({'performance=avg_view_rate'}),0.09210526315789473,0.18421052631578946,0.039473684210526314,0.42857142857142855,2.326530612244898,0.022506925207756233,1.4276315789473684,0.6280193236714976,1,1,performance=avg_view_rate,3,7,{hashtag=اليوم_وكل_يوم},اليوم_وكل_يوم,directional,0.55,0.3,0.6632653061224489,0.6,0.9970845481049562,0.4812244897959183,"Use/test: اليوم_وكل_يوم. It appeared in 7 posts; 3 were avg_view_rate. Confidence=43%, lift=2.33x, reliability=directional."
frozenset({'hashtag=اليوم_وكل_يوم'}),frozenset({'performance=low_view_rate'}),0.09210526315789473,0.5131578947368421,0.05263157894736842,0.5714285714285714,1.1135531135531134,0.00536703601108033,1.1359649122807016,0.11231884057971009,1,1,performance=low_view_rate,4,7,{hashtag=اليوم_وكل_يوم},اليوم_وكل_يوم,weak,-1.0,0.4,0.056776556776556686,0.1,0.6363160648874934,0.19778388278388273,"Use/test: اليوم_وكل_يوم. It appeared in 7 posts; 4 were low_view_rate. Confidence=57%, lift=1.11x, reliability=weak."
frozenset({'hashtag=طعام'}),frozenset({'performance=low_view_rate'}),0.02631578947368421,0.5131578947368421,0.02631578947368421,1.0,1.9487179487179485,0.012811634349030468,inf,0.49999999999999994,1,1,performance=low_view_rate,2,2,{hashtag=طعام},طعام,weak,-1.0,0.2,0.47435897435897423,0.1,1.9487179487179485,0.3598717948717949,"Use/test: طعام. It appeared in 2 posts; 2 were low_view_rate. Confidence=100%, lift=1.95x, reliability=weak."
frozenset({'hashtag=فانيلا'}),frozenset({'performance=avg_view_rate'}),0.10526315789473684,0.18421052631578946,0.039473684210526314,0.375,2.035714285714286,0.02008310249307479,1.305263157894737,0.5686274509803922,1,1,performance=avg_view_rate,3,8,{hashtag=فانيلا},فانيلا,directional,0.55,0.3,0.517857142857143,0.6,0.7633928571428572,0.4360714285714286,"Use/test: فانيلا. It appeared in 8 posts; 3 were avg_view_rate. Confidence=38%, lift=2.04x, reliability=directional."
frozenset({'hashtag=فانيلا'}),frozenset({'performance=low_view_rate'}),0.10526315789473684,0.5131578947368421,0.05263157894736842,0.5,0.9743589743589742,-0.001385041551246545,0.9736842105263157,-0.028571428571428727,1,1,performance=low_view_rate,4,8,{hashtag=فانيلا},فانيلا,weak,-1.0,0.4,0.0,0.1,0.4871794871794871,0.165,"Use/test: فانيلا. It appeared in 8 posts; 4 were low_view_rate. Confidence=50%, lift=0.97x, reliability=weak."
frozenset({'hashtag=فانيلا_اليوم_وكل_يوم'}),frozenset({'performance=low_view_rate'}),0.618421052631579,0.5131578947368421,0.35526315789473684,0.5744680851063829,1.1194762684124384,0.03791551246537389,1.1440789473684208,0.2796934865900378,1,1,performance=low_view_rate,27,47,{hashtag=فانيلا_اليوم_وكل_يوم},فانيلا_اليوم_وكل_يوم,weak,-1.0,1.0,0.05973813420621921,0.1,0.6431033882369327,0.34928805237315874,"Use/test: فانيلا_اليوم_وكل_يوم. It appeared in 47 posts; 27 were low_view_rate. Confidence=57%, lift=1.12x, reliability=weak."
frozenset({'hashtag=قهوة'}),frozenset({'performance=avg_view_rate'}),0.10526315789473684,0.18421052631578946,0.06578947368421052,0.625,3.3928571428571432,0.046398891966759004,2.175438596491228,0.788235294117647,1,1,performance=avg_view_rate,5,8,{hashtag=قهوة},قهوة,directional,0.55,0.5,1.0,0.6,2.1205357142857144,0.6575,"Use/test: قهوة. It appeared in 8 posts; 5 were avg_view_rate. Confidence=62%, lift=3.39x, reliability=directional."
frozenset({'hashtag=قهوة'}),frozenset({'performance=low_view_rate'}),0.10526315789473684,0.5131578947368421,0.039473684210526314,0.375,0.7307692307692307,-0.01454293628808865,0.7789473684210526,-0.2916666666666668,1,1,performance=low_view_rate,3,8,{hashtag=قهوة},قهوة,weak,-1.0,0.3,0.0,0.1,0.2740384615384615,0.10250000000000001,"Use/test: قهوة. It appeared in 8 posts; 3 were low_view_rate. Confidence=38%, lift=0.73x, reliability=weak."
frozenset({'hashtag=كيك'}),frozenset({'performance=avg_view_rate'}),0.10526315789473684,0.18421052631578946,0.039473684210526314,0.375,2.035714285714286,0.02008310249307479,1.305263157894737,0.5686274509803922,1,1,performance=avg_view_rate,3,8,{hashtag=كيك},كيك,directional,0.55,0.3,0.517857142857143,0.6,0.7633928571428572,0.4360714285714286,"Use/test: كيك. It appeared in 8 posts; 3 were avg_view_rate. Confidence=38%, lift=2.04x, reliability=directional."
frozenset({'hashtag=كيك'}),frozenset({'performance=low_view_rate'}),0.10526315789473684,0.5131578947368421,0.06578947368421052,0.625,1.2179487179487178,0.01177285318559556,1.2982456140350875,0.19999999999999987,1,1,performance=low_view_rate,5,8,{hashtag=كيك},كيك,directional,-1.0,0.5,0.10897435897435892,0.6,0.7612179487179487,0.3242948717948718,"Use/test: كيك. It appeared in 8 posts; 5 were low_view_rate. Confidence=62%, lift=1.22x, reliability=directional."
frozenset({'hashtag=يوم_الأم'}),frozenset({'performance=high_view_rate'}),0.039473684210526314,0.3026315789473684,0.02631578947368421,0.6666666666666666,2.2028985507246377,0.014369806094182825,2.0921052631578947,0.5684931506849316,1,1,performance=high_view_rate,2,3,{hashtag=يوم_الأم},يوم_الأم,weak,1.0,0.2,0.6014492753623188,0.1,1.468599033816425,0.4852898550724638,"Use/test: يوم_الأم. It appeared in 3 posts; 2 were high_view_rate. Confidence=67%, lift=2.20x, reliability=weak."
"frozenset({'hashtag=coffee', 'hashtag=cake'})",frozenset({'performance=avg_view_rate'}),0.05263157894736842,0.18421052631578946,0.039473684210526314,0.75,4.071428571428572,0.029778393351800554,3.263157894736842,0.7962962962962964,2,1,performance=avg_view_rate,3,4,"{hashtag=cake, hashtag=coffee}","cake, coffee",directional,0.55,0.3,1.0,0.6,3.053571428571429,0.645,"Use/test: cake, coffee. It appeared in 4 posts; 3 were avg_view_rate. Confidence=75%, lift=4.07x, reliability=directional."
"frozenset({'hashtag=cake', 'hashtag=desserts'})",frozenset({'performance=low_view_rate'}),0.039473684210526314,0.5131578947368421,0.039473684210526314,1.0,1.9487179487179485,0.019217451523545703,inf,0.5068493150684931,2,1,performance=low_view_rate,3,3,"{hashtag=cake, hashtag=desserts}","cake, desserts",directional,-1.0,0.3,0.47435897435897423,0.6,1.9487179487179485,0.45987179487179486,"Use/test: cake, desserts. It appeared in 3 posts; 3 were low_view_rate. Confidence=100%, lift=1.95x, reliability=directional."
"frozenset({'hashtag=food', 'hashtag=cake'})",frozenset({'performance=low_view_rate'}),0.02631578947368421,0.5131578947368421,0.02631578947368421,1.0,1.9487179487179485,0.012811634349030468,inf,0.49999999999999994,2,1,performance=low_view_rate,2,2,"{hashtag=cake, hashtag=food}","cake, food",weak,-1.0,0.2,0.47435897435897423,0.1,1.9487179487179485,0.3598717948717949,"Use/test: cake, food. It appeared in 2 posts; 2 were low_view_rate. Confidence=100%, lift=1.95x, reliability=weak."
"frozenset({'hashtag=today_and_everyday', 'hashtag=cake'})",frozenset({'performance=avg_view_rate'}),0.09210526315789473,0.18421052631578946,0.039473684210526314,0.42857142857142855,2.326530612244898,0.022506925207756233,1.4276315789473684,0.6280193236714976,2,1,performance=avg_view_rate,3,7,"{hashtag=cake, hashtag=today_and_everyday}","cake, today_and_everyday",directional,0.55,0.3,0.6632653061224489,0.6,0.9970845481049562,0.4812244897959183,"Use/test: cake, today_and_everyday. It appeared in 7 posts; 3 were avg_view_rate. Confidence=43%, lift=2.33x, reliability=directional."
"frozenset({'hashtag=today_and_everyday', 'hashtag=cake'})",frozenset({'performance=low_view_rate'}),0.09210526315789473,0.5131578947368421,0.05263157894736842,0.5714285714285714,1.1135531135531134,0.00536703601108033,1.1359649122807016,0.11231884057971009,2,1,performance=low_view_rate,4,7,"{hashtag=cake, hashtag=today_and_everyday}","cake, today_and_everyday",weak,-1.0,0.4,0.056776556776556686,0.1,0.6363160648874934,0.19778388278388273,"Use/test: cake, today_and_everyday. It appeared in 7 posts; 4 were low_view_rate. Confidence=57%, lift=1.11x, reliability=weak."
"frozenset({'hashtag=vanilla', 'hashtag=cake'})",frozenset({'performance=low_view_rate'}),0.05263157894736842,0.5131578947368421,0.039473684210526314,0.75,1.4615384615384615,0.012465373961218832,1.9473684210526314,0.33333333333333326,2,1,performance=low_view_rate,3,4,"{hashtag=cake, hashtag=vanilla}","cake, vanilla",directional,-1.0,0.3,0.23076923076923073,0.6,1.096153846153846,0.33615384615384614,"Use/test: cake, vanilla. It appeared in 4 posts; 3 were low_view_rate. Confidence=75%, lift=1.46x, reliability=directional."
"frozenset({'hashtag=طعام', 'hashtag=cake'})",frozenset({'performance=low_view_rate'}),0.02631578947368421,0.5131578947368421,0.02631578947368421,1.0,1.9487179487179485,0.012811634349030468,inf,0.49999999999999994,2,1,performance=low_view_rate,2,2,"{hashtag=cake, hashtag=طعام}","cake, طعام",weak,-1.0,0.2,0.47435897435897423,0.1,1.9487179487179485,0.3598717948717949,"Use/test: cake, طعام. It appeared in 2 posts; 2 were low_view_rate. Confidence=100%, lift=1.95x, reliability=weak."
