business_name,sector,followers_count,post_date,posting_hour,day_of_week,month,post_type,caption_text,caption_length,hashtags_count,emoji_count,likes_count,comments_count,views_count,language,CTA_present,promo_post,discount_percent,mentions_location,religious_theme,patriotic_theme,arabic_dialect_style,engagement,engagement_rate,like_rate,comment_rate,view_rate,view_engagement_rate,week,is_video,is_reel,posting_time_bin,caption_length_bin,hashtags_count_bin,emoji_count_bin,engagement_level,business_size_bin,high_engagement,high_view_rate,high_comment_rate
Instagram_Macro,Business,223080,2024-01-01 01:42:00,1,Monday,1,Carousel,platform Instagram content Carousel category Business sentiment Positive tier Macro,985,16,0,8287,247,29502,English,True,False,0,False,False,False,False,8534,0.038255334409180566,0.037148108301954454,0.0011072261072261073,0.13224852071005916,0.28926852416785304,1,0,0,night,long,many,none,high,medium,1,0,0
LinkedIn_Macro,Health,312647,2024-01-01 05:05:00,5,Monday,1,Document,platform LinkedIn content Document category Health sentiment Negative tier Macro,627,9,0,1711,27,24538,English,False,False,0,False,False,False,False,1738,0.005558985053430866,0.005472625676881595,8.635937654927122e-05,0.07848468080614879,0.07082891841225854,1,0,0,night,long,many,none,low,medium,0,0,0
Instagram_Macro,Food,220737,2024-01-01 09:18:00,9,Monday,1,Carousel,platform Instagram content Carousel category Food sentiment Positive tier Macro,79,27,0,1527,191,5460,English,True,False,0,False,False,False,False,1718,0.007783017799462709,0.006917734679731989,0.0008652831197307202,0.02473531850120279,0.31465201465201464,1,0,0,morning,medium,many,none,low,medium,0,0,0
Facebook_Macro,Sports,428935,2024-01-01 10:58:00,10,Monday,1,Video,platform Facebook content Video category Sports sentiment Neutral tier Macro,554,17,0,535,178,68246,English,True,False,0,False,False,False,False,713,0.0016622565190530035,0.0012472752281814262,0.0004149812908715773,0.15910569200461608,0.010447498754505758,1,1,0,morning,long,many,none,low,large,0,0,0
Instagram_Mid-tier,Fitness,64384,2024-01-01 13:12:00,13,Monday,1,Photo,platform Instagram content Photo category Fitness sentiment Positive tier Mid-tier,1136,5,0,9706,35,25782,English,True,False,0,False,False,False,False,9741,0.15129535288270377,0.15075173956262425,0.0005436133200795229,0.40044110337972166,0.37782173609494996,1,0,0,afternoon,long,many,none,high,small,1,0,0
Twitter_Macro,Sports,421886,2024-01-02 01:24:00,1,Tuesday,1,Poll,platform Twitter content Poll category Sports sentiment Negative tier Macro,1611,19,0,3767,83,59434,English,True,False,0,False,False,False,False,3850,0.009125687982061505,0.00892895237101966,0.00019673561104184542,0.14087691935736193,0.06477773664905609,1,0,0,night,long,many,none,low,large,0,0,0
Twitter_Macro,Lifestyle,259275,2024-01-02 03:01:00,3,Tuesday,1,Poll,platform Twitter content Poll category Lifestyle sentiment Negative tier Macro,1406,25,0,1558,71,45929,English,True,False,0,False,False,False,False,1629,0.006282904252241828,0.006009063735416064,0.00027384051682576417,0.17714395911676792,0.03546778723682205,1,0,0,night,long,many,none,low,medium,0,0,0
Twitter_Micro,Education,30966,2024-01-02 16:59:00,16,Tuesday,1,Thread,platform Twitter content Thread category Education sentiment Negative tier Micro,399,1,0,599,222,68904,English,True,False,0,False,False,False,False,821,0.026512949686753214,0.019343796421882064,0.007169153264871149,2.2251501646967644,0.011915128294438639,1,0,0,afternoon,long,few,none,medium,small,0,1,1
YouTube_Macro,Food,395761,2024-01-02 19:22:00,19,Tuesday,1,Live,platform YouTube content Live category Food sentiment Neutral tier Macro,109,22,0,6062,754,947740,English,False,False,0,False,False,False,False,6816,0.01722251560916816,0.015317325355454428,0.0019051902537137312,2.394728131372217,0.007191845864899656,1,0,0,evening,medium,many,none,medium,large,0,1,1
Twitter_Macro,Travel,478824,2024-01-02 20:04:00,20,Tuesday,1,Thread,platform Twitter content Thread category Travel sentiment Neutral tier Macro,1445,22,0,597,22,67556,English,True,False,0,False,False,False,False,619,0.0012927505722353098,0.0012468046714450404,4.594590079026949e-05,0.1410873306267021,0.009162768665995618,1,0,0,evening,long,many,none,low,large,0,0,0
