antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,antecedent_size,consequent_size,consequent_item,count,antecedent_count,antecedents_str,reliability,target_score,count_score,lift_score,recommendation_score,strength_score,recommendation_text
frozenset({'hashtag=desserts'}),frozenset({'performance=low_view_rate'}),0.05263157894736842,0.5131578947368421,0.05263157894736842,1.0,1.9487179487179485,0.025623268698060937,inf,0.5138888888888887,1,1,performance=low_view_rate,4,4,{hashtag=desserts},experimental,-1.0,0.4,0.6495726495726495,0.5448717948717948,1.9487179487179485,"Try using {hashtag=desserts}. This pattern appeared in 4 posts and 4 reached low_view_rate. Confidence: 100.0%, lift: 1.95x. Reliability: experimental. This was associated with low_view_rate, but this is not proof of causality."
"frozenset({'hashtag=desserts', 'hashtag=cake'})",frozenset({'performance=low_view_rate'}),0.039473684210526314,0.5131578947368421,0.039473684210526314,1.0,1.9487179487179485,0.019217451523545703,inf,0.5068493150684931,2,1,performance=low_view_rate,3,3,"{hashtag=cake, hashtag=desserts}",experimental,-1.0,0.3,0.6495726495726495,0.5198717948717948,1.9487179487179485,"Try using {hashtag=cake, hashtag=desserts}. This pattern appeared in 3 posts and 3 reached low_view_rate. Confidence: 100.0%, lift: 1.95x. Reliability: experimental. This was associated with low_view_rate, but this is not proof of causality."
"frozenset({'hashtag=dessert', 'hashtag=vanilla'})",frozenset({'performance=high_view_rate'}),0.05263157894736842,0.3026315789473684,0.05263157894736842,1.0,3.3043478260869565,0.03670360110803324,inf,0.736111111111111,2,1,performance=high_view_rate,4,4,"{hashtag=dessert, hashtag=vanilla}",experimental,1.0,0.4,1.0,0.8499999999999999,3.3043478260869565,"Try using {hashtag=dessert, hashtag=vanilla}. This pattern appeared in 4 posts and 4 reached high_view_rate. Confidence: 100.0%, lift: 3.30x. Reliability: experimental. Small sample size, treat as experiment."
"frozenset({'hashtag=desserts', 'hashtag=today_and_everyday'})",frozenset({'performance=low_view_rate'}),0.05263157894736842,0.5131578947368421,0.05263157894736842,1.0,1.9487179487179485,0.025623268698060937,inf,0.5138888888888887,2,1,performance=low_view_rate,4,4,"{hashtag=desserts, hashtag=today_and_everyday}",experimental,-1.0,0.4,0.6495726495726495,0.5448717948717948,1.9487179487179485,"Try using {hashtag=desserts, hashtag=today_and_everyday}. This pattern appeared in 4 posts and 4 reached low_view_rate. Confidence: 100.0%, lift: 1.95x. Reliability: experimental. This was associated with low_view_rate, but this is not proof of causality."
"frozenset({'hashtag=desserts', 'hashtag=كيك'})",frozenset({'performance=low_view_rate'}),0.05263157894736842,0.5131578947368421,0.05263157894736842,1.0,1.9487179487179485,0.025623268698060937,inf,0.5138888888888887,2,1,performance=low_view_rate,4,4,"{hashtag=desserts, hashtag=كيك}",experimental,-1.0,0.4,0.6495726495726495,0.5448717948717948,1.9487179487179485,"Try using {hashtag=desserts, hashtag=كيك}. This pattern appeared in 4 posts and 4 reached low_view_rate. Confidence: 100.0%, lift: 1.95x. Reliability: experimental. This was associated with low_view_rate, but this is not proof of causality."
"frozenset({'hashtag=vanilla_cake', 'hashtag=vanilla'})",frozenset({'performance=high_view_rate'}),0.05263157894736842,0.3026315789473684,0.05263157894736842,1.0,3.3043478260869565,0.03670360110803324,inf,0.736111111111111,2,1,performance=high_view_rate,4,4,"{hashtag=vanilla, hashtag=vanilla_cake}",experimental,1.0,0.4,1.0,0.8499999999999999,3.3043478260869565,"Try using {hashtag=vanilla, hashtag=vanilla_cake}. This pattern appeared in 4 posts and 4 reached high_view_rate. Confidence: 100.0%, lift: 3.30x. Reliability: experimental. Small sample size, treat as experiment."
"frozenset({'hashtag=vanilla_today_and_everyday', 'hashtag=vanilla'})",frozenset({'performance=high_view_rate'}),0.06578947368421052,0.3026315789473684,0.05263157894736842,0.8,2.6434782608695655,0.032721606648199446,3.486842105263159,0.665492957746479,2,1,performance=high_view_rate,4,5,"{hashtag=vanilla, hashtag=vanilla_today_and_everyday}",experimental,1.0,0.4,0.8811594202898552,0.7443478260869565,2.1147826086956525,"Try using {hashtag=vanilla, hashtag=vanilla_today_and_everyday}. This pattern appeared in 5 posts and 4 reached high_view_rate. Confidence: 80.0%, lift: 2.64x. Reliability: experimental. Small sample size, treat as experiment."
"frozenset({'hashtag=desserts', 'hashtag=cake', 'hashtag=today_and_everyday'})",frozenset({'performance=low_view_rate'}),0.039473684210526314,0.5131578947368421,0.039473684210526314,1.0,1.9487179487179485,0.019217451523545703,inf,0.5068493150684931,3,1,performance=low_view_rate,3,3,"{hashtag=cake, hashtag=desserts, hashtag=today_and_everyday}",experimental,-1.0,0.3,0.6495726495726495,0.5198717948717948,1.9487179487179485,"Try using {hashtag=cake, hashtag=desserts, hashtag=today_and_everyday}. This pattern appeared in 3 posts and 3 reached low_view_rate. Confidence: 100.0%, lift: 1.95x. Reliability: experimental. This was associated with low_view_rate, but this is not proof of causality."
"frozenset({'hashtag=cake', 'hashtag=desserts', 'hashtag=كيك'})",frozenset({'performance=low_view_rate'}),0.039473684210526314,0.5131578947368421,0.039473684210526314,1.0,1.9487179487179485,0.019217451523545703,inf,0.5068493150684931,3,1,performance=low_view_rate,3,3,"{hashtag=cake, hashtag=desserts, hashtag=كيك}",experimental,-1.0,0.3,0.6495726495726495,0.5198717948717948,1.9487179487179485,"Try using {hashtag=cake, hashtag=desserts, hashtag=كيك}. This pattern appeared in 3 posts and 3 reached low_view_rate. Confidence: 100.0%, lift: 1.95x. Reliability: experimental. This was associated with low_view_rate, but this is not proof of causality."
"frozenset({'hashtag=dessert', 'hashtag=vanilla_cake', 'hashtag=vanilla'})",frozenset({'performance=high_view_rate'}),0.05263157894736842,0.3026315789473684,0.05263157894736842,1.0,3.3043478260869565,0.03670360110803324,inf,0.736111111111111,3,1,performance=high_view_rate,4,4,"{hashtag=dessert, hashtag=vanilla, hashtag=vanilla_cake}",experimental,1.0,0.4,1.0,0.8499999999999999,3.3043478260869565,"Try using {hashtag=dessert, hashtag=vanilla, hashtag=vanilla_cake}. This pattern appeared in 4 posts and 4 reached high_view_rate. Confidence: 100.0%, lift: 3.30x. Reliability: experimental. Small sample size, treat as experiment."
