caption_text,hashtags,likes_count,comments_count,views_count,post_type,language,_clean_text,topic_id,topic_probability,business_label,topic_description
great coffee offer today,#coffee,10,1,100,post,English,great offer today,2,0.24197018146514893,Weekend Family Weekend,Keyword-driven content theme detected from captions.
new menu launch this week,#menu,15,2,140,reel,English,new launch this week,2,0.02789205312728882,Weekend Family Weekend,Keyword-driven content theme detected from captions.
weekend family brunch deal,#brunch,12,3,130,post,English,weekend family deal,2,0.06136888265609741,Weekend Family Weekend,Keyword-driven content theme detected from captions.
try our signature dessert,#dessert,9,1,90,story,English,try our signature,2,0.005758166313171387,Weekend Family Weekend,Keyword-driven content theme detected from captions.
fresh ingredients every day,#fresh,11,2,120,reel,English,ingredients every day,0,1.0,Ingredients Ingredients Day,Keyword-driven content theme detected from captions.
discount on lunch combo,#discount,20,4,200,post,English,on lunch combo,1,0.29781007766723633,Tonight Platter Book,Keyword-driven content theme detected from captions.
best shawarma in town,#shawarma,18,2,180,reel,English,best in town,2,0.0,Weekend Family Weekend,Keyword-driven content theme detected from captions.
happy hour drinks now,#happyhour,14,2,160,story,English,happy hour drinks now,2,0.05402231216430664,Weekend Family Weekend,Keyword-driven content theme detected from captions.
order online with free delivery,#delivery,22,5,240,post,English,order online with free,2,0.05148494243621826,Weekend Family Weekend,Keyword-driven content theme detected from captions.
limited time dinner package,#dinner,17,2,170,reel,English,limited time package,1,0.11537688970565796,Tonight Platter Book,Keyword-driven content theme detected from captions.
chef special seafood platter,#seafood,13,2,150,post,English,chef special platter,1,0.22060662508010864,Tonight Platter Book,Keyword-driven content theme detected from captions.
book your table for tonight,#booking,16,3,175,story,English,book your table for tonight,1,0.20507848262786865,Tonight Platter Book,Keyword-driven content theme detected from captions.
