business_name,sector,followers_count,post_date,posting_hour,day_of_week,month,post_type,caption_text,caption_length,hashtags_count,emoji_count,likes_count,comments_count,views_count,language,CTA_present,promo_post,discount_percent,mentions_location,religious_theme,patriotic_theme,arabic_dialect_style
Instagram_Macro,Business,223080,2024-01-01 01:42:00,1,Monday,1,Carousel,platform Instagram content Carousel category Business sentiment Positive tier Macro,985,16,0,8287,247,29502,English,True,False,0,False,False,False,False
LinkedIn_Macro,Health,312647,2024-01-01 05:05:00,5,Monday,1,Document,platform LinkedIn content Document category Health sentiment Negative tier Macro,627,9,0,1711,27,24538,English,False,False,0,False,False,False,False
Instagram_Macro,Food,220737,2024-01-01 09:18:00,9,Monday,1,Carousel,platform Instagram content Carousel category Food sentiment Positive tier Macro,79,27,0,1527,191,5460,English,True,False,0,False,False,False,False
Facebook_Macro,Sports,428935,2024-01-01 10:58:00,10,Monday,1,Video,platform Facebook content Video category Sports sentiment Neutral tier Macro,554,17,0,535,178,68246,English,True,False,0,False,False,False,False
Instagram_Mid-tier,Fitness,64384,2024-01-01 13:12:00,13,Monday,1,Photo,platform Instagram content Photo category Fitness sentiment Positive tier Mid-tier,1136,5,0,9706,35,25782,English,True,False,0,False,False,False,False
Twitter_Macro,Sports,421886,2024-01-02 01:24:00,1,Tuesday,1,Poll,platform Twitter content Poll category Sports sentiment Negative tier Macro,1611,19,0,3767,83,59434,English,True,False,0,False,False,False,False
Twitter_Macro,Lifestyle,259275,2024-01-02 03:01:00,3,Tuesday,1,Poll,platform Twitter content Poll category Lifestyle sentiment Negative tier Macro,1406,25,0,1558,71,45929,English,True,False,0,False,False,False,False
Twitter_Micro,Education,30966,2024-01-02 16:59:00,16,Tuesday,1,Thread,platform Twitter content Thread category Education sentiment Negative tier Micro,399,1,0,599,222,68904,English,True,False,0,False,False,False,False
YouTube_Macro,Food,395761,2024-01-02 19:22:00,19,Tuesday,1,Live,platform YouTube content Live category Food sentiment Neutral tier Macro,109,22,0,6062,754,947740,English,False,False,0,False,False,False,False
Twitter_Macro,Travel,478824,2024-01-02 20:04:00,20,Tuesday,1,Thread,platform Twitter content Thread category Travel sentiment Neutral tier Macro,1445,22,0,597,22,67556,English,True,False,0,False,False,False,False
TikTok_Macro,Travel,241082,2024-01-02 20:22:00,20,Tuesday,1,Video,platform TikTok content Video category Travel sentiment Negative tier Macro,369,5,0,18977,966,8088,English,False,False,0,False,False,False,False
Instagram_Mid-tier,Entertainment,67464,2024-01-02 21:41:00,21,Tuesday,1,Carousel,platform Instagram content Carousel category Entertainment sentiment Positive tier Mid-tier,1458,11,0,1874,467,30977,English,True,False,0,False,False,False,False
Instagram_Macro,Business,292298,2024-01-02 21:55:00,21,Tuesday,1,Photo,platform Instagram content Photo category Business sentiment Negative tier Macro,1262,6,0,1867,125,44911,English,True,False,0,False,False,False,False
Twitter_Macro,Sports,148659,2024-01-03 00:42:00,0,Wednesday,1,Poll,platform Twitter content Poll category Sports sentiment Neutral tier Macro,1597,7,0,4926,205,28491,English,True,False,0,False,False,False,False
LinkedIn_Macro,Lifestyle,190618,2024-01-03 03:35:00,3,Wednesday,1,Poll,platform LinkedIn content Poll category Lifestyle sentiment Neutral tier Macro,1506,13,0,1383,123,6603,English,False,False,0,False,False,False,False
Instagram_Macro,Education,499770,2024-01-03 04:16:00,4,Wednesday,1,Reel,platform Instagram content Reel category Education sentiment Neutral tier Macro,172,20,0,8387,360,13360,English,True,False,0,False,False,False,False
Facebook_Macro,Sports,487579,2024-01-03 09:46:00,9,Wednesday,1,Video,platform Facebook content Video category Sports sentiment Neutral tier Macro,353,15,0,5540,375,73879,English,True,False,0,False,False,False,False
Facebook_Micro,Technology,29036,2024-01-03 13:28:00,13,Wednesday,1,Post,platform Facebook content Post category Technology sentiment Negative tier Micro,1717,29,0,1048,256,75334,English,True,False,0,False,False,False,False
LinkedIn_Macro,Technology,402762,2024-01-04 00:19:00,0,Thursday,1,Post,platform LinkedIn content Post category Technology sentiment Positive tier Macro,764,19,0,1708,113,26761,English,True,False,0,False,False,False,False
Instagram_Macro,Technology,245871,2024-01-04 05:36:00,5,Thursday,1,Story,platform Instagram content Story category Technology sentiment Positive tier Macro,1954,15,0,6145,224,45738,English,True,False,0,False,False,False,False
Instagram_Macro,Fitness,430456,2024-01-04 10:49:00,10,Thursday,1,Story,platform Instagram content Story category Fitness sentiment Neutral tier Macro,1064,26,0,4399,125,21640,English,True,False,0,False,False,False,False
Twitter_Macro,Fitness,120825,2024-01-04 12:44:00,12,Thursday,1,Thread,platform Twitter content Thread category Fitness sentiment Neutral tier Macro,880,21,0,2837,260,47775,English,True,False,0,False,False,False,False
Instagram_Macro,Food,202126,2024-01-04 16:45:00,16,Thursday,1,Reel,platform Instagram content Reel category Food sentiment Positive tier Macro,175,20,0,1974,308,21531,English,True,False,0,False,False,False,False
YouTube_Macro,Travel,364855,2024-01-04 20:52:00,20,Thursday,1,Live,platform YouTube content Live category Travel sentiment Positive tier Macro,185,15,0,19612,881,22497,English,True,False,0,False,False,False,False
YouTube_Macro,Gaming,488156,2024-01-04 23:13:00,23,Thursday,1,Video,platform YouTube content Video category Gaming sentiment Neutral tier Macro,20,29,0,6523,343,886932,English,True,False,0,False,False,False,False
Instagram_Macro,Food,140434,2024-01-05 09:59:00,9,Friday,1,Reel,platform Instagram content Reel category Food sentiment Neutral tier Macro,588,8,0,6327,440,935,English,True,False,0,False,False,False,False
Facebook_Nano,Lifestyle,3383,2024-01-05 10:15:00,10,Friday,1,Story,platform Facebook content Story category Lifestyle sentiment Neutral tier Nano,484,17,0,2672,360,2203,English,True,False,0,False,False,False,False
Instagram_Macro,Fitness,117460,2024-01-05 14:17:00,14,Friday,1,Carousel,platform Instagram content Carousel category Fitness sentiment Positive tier Macro,1798,11,0,1687,73,41648,English,True,False,0,False,False,False,False
Facebook_Macro,Business,414100,2024-01-06 12:07:00,12,Saturday,1,Live,platform Facebook content Live category Business sentiment Neutral tier Macro,524,27,0,1784,227,77227,English,True,False,0,False,False,False,False
YouTube_Mid-tier,Lifestyle,79923,2024-01-06 14:21:00,14,Saturday,1,Short,platform YouTube content Short category Lifestyle sentiment Neutral tier Mid-tier,566,1,0,9264,590,720597,English,True,False,0,False,False,False,False
Facebook_Macro,Lifestyle,373777,2024-01-06 17:28:00,17,Saturday,1,Post,platform Facebook content Post category Lifestyle sentiment Positive tier Macro,1979,22,0,6896,135,65197,English,False,False,0,False,False,False,False
Twitter_Macro,Fashion,499327,2024-01-06 19:56:00,19,Saturday,1,Tweet,platform Twitter content Tweet category Fashion sentiment Neutral tier Macro,622,13,0,156,131,75745,English,True,False,0,False,False,False,False
Instagram_Macro,Lifestyle,331405,2024-01-07 02:55:00,2,Sunday,1,Reel,platform Instagram content Reel category Lifestyle sentiment Positive tier Macro,53,7,0,8448,490,29382,English,True,False,0,False,False,False,False
Instagram_Macro,Fashion,476563,2024-01-07 03:43:00,3,Sunday,1,Story,platform Instagram content Story category Fashion sentiment Positive tier Macro,565,12,0,1242,270,833,English,True,False,0,False,False,False,False
TikTok_Macro,Fitness,458682,2024-01-07 05:44:00,5,Sunday,1,Video,platform TikTok content Video category Fitness sentiment Positive tier Macro,598,22,0,37311,858,439758,English,True,False,0,False,False,False,False
Instagram_Macro,Fashion,364057,2024-01-07 05:55:00,5,Sunday,1,Story,platform Instagram content Story category Fashion sentiment Positive tier Macro,915,2,0,5138,49,47958,English,True,False,0,False,False,False,False
Facebook_Macro,Travel,479509,2024-01-07 07:53:00,7,Sunday,1,Story,platform Facebook content Story category Travel sentiment Negative tier Macro,1244,8,0,4532,332,24121,English,True,False,0,False,False,False,False
Twitter_Macro,Fitness,135479,2024-01-07 07:56:00,7,Sunday,1,Retweet,platform Twitter content Retweet category Fitness sentiment Negative tier Macro,311,1,0,4492,244,24696,English,True,False,0,False,False,False,False
Twitter_Micro,Fashion,47435,2024-01-07 11:00:00,11,Sunday,1,Retweet,platform Twitter content Retweet category Fashion sentiment Neutral tier Micro,818,23,0,3186,177,27503,English,True,False,0,False,False,False,False
Instagram_Macro,Health,373732,2024-01-07 11:19:00,11,Sunday,1,Carousel,platform Instagram content Carousel category Health sentiment Negative tier Macro,188,21,0,9902,174,760,English,True,False,0,False,False,False,False
LinkedIn_Macro,Gaming,309232,2024-01-07 13:01:00,13,Sunday,1,Article,platform LinkedIn content Article category Gaming sentiment Neutral tier Macro,905,10,0,615,72,18554,English,True,False,0,False,False,False,False
Facebook_Macro,Health,352767,2024-01-07 13:08:00,13,Sunday,1,Live,platform Facebook content Live category Health sentiment Positive tier Macro,523,10,0,6283,165,49857,English,True,False,0,False,False,False,False
Twitter_Macro,Lifestyle,484615,2024-01-08 04:28:00,4,Monday,1,Tweet,platform Twitter content Tweet category Lifestyle sentiment Positive tier Macro,1692,6,0,280,240,50483,English,True,False,0,False,False,False,False
Instagram_Macro,Travel,371362,2024-01-08 05:59:00,5,Monday,1,Reel,platform Instagram content Reel category Travel sentiment Positive tier Macro,561,6,0,545,440,46180,English,True,False,0,False,False,False,False
LinkedIn_Macro,Lifestyle,309567,2024-01-08 06:19:00,6,Monday,1,Article,platform LinkedIn content Article category Lifestyle sentiment Neutral tier Macro,863,24,0,1635,90,14227,English,True,False,0,False,False,False,False
Instagram_Micro,Health,44931,2024-01-08 18:33:00,18,Monday,1,Carousel,platform Instagram content Carousel category Health sentiment Positive tier Micro,537,20,0,6342,62,23890,English,True,False,0,False,False,False,False
Twitter_Macro,Fashion,119901,2024-01-08 20:04:00,20,Monday,1,Poll,platform Twitter content Poll category Fashion sentiment Positive tier Macro,180,8,0,145,183,1947,English,True,False,0,False,False,False,False
Twitter_Micro,Health,26858,2024-01-08 21:37:00,21,Monday,1,Poll,platform Twitter content Poll category Health sentiment Negative tier Micro,1660,26,0,4073,129,96934,English,True,False,0,False,False,False,False
Facebook_Macro,Entertainment,321725,2024-01-09 00:43:00,0,Tuesday,1,Live,platform Facebook content Live category Entertainment sentiment Negative tier Macro,358,24,0,3270,132,10351,English,True,False,0,False,False,False,False
TikTok_Macro,Business,185278,2024-01-09 02:24:00,2,Tuesday,1,Video,platform TikTok content Video category Business sentiment Negative tier Macro,478,18,0,33034,309,242685,English,False,False,0,False,False,False,False
TikTok_Macro,Fashion,371740,2024-01-09 03:27:00,3,Tuesday,1,Duet,platform TikTok content Duet category Fashion sentiment Neutral tier Macro,491,24,0,8731,994,75043,English,True,False,0,False,False,False,False
Instagram_Micro,Food,47275,2024-01-09 03:40:00,3,Tuesday,1,Carousel,platform Instagram content Carousel category Food sentiment Negative tier Micro,726,28,0,7684,20,3713,English,True,False,0,False,False,False,False
Facebook_Macro,Entertainment,257653,2024-01-09 11:12:00,11,Tuesday,1,Story,platform Facebook content Story category Entertainment sentiment Positive tier Macro,1512,11,0,5232,366,10075,English,True,False,0,False,False,False,False
LinkedIn_Macro,Health,277798,2024-01-09 11:48:00,11,Tuesday,1,Post,platform LinkedIn content Post category Health sentiment Positive tier Macro,755,18,0,472,94,18259,English,True,False,0,False,False,False,False
Instagram_Macro,Technology,477456,2024-01-09 12:59:00,12,Tuesday,1,Story,platform Instagram content Story category Technology sentiment Negative tier Macro,965,3,0,8440,165,37752,English,True,False,0,False,False,False,False
TikTok_Micro,Lifestyle,10027,2024-01-09 13:30:00,13,Tuesday,1,Stitch,platform TikTok content Stitch category Lifestyle sentiment Positive tier Micro,272,19,0,46571,441,302431,English,True,False,0,False,False,False,False
