business_name,sector,followers_count,post_date,posting_hour,day_of_week,month,post_type,caption_text,caption_length,hashtags_count,emoji_count,likes_count,comments_count,views_count,language,CTA_present,promo_post,discount_percent,mentions_location,religious_theme,patriotic_theme,arabic_dialect_style,sponsored,cta_present,hashtags,engagement,engagement_rate,like_rate,comment_rate,view_rate,view_engagement_rate,total_engagement,engagement_rate_followers,likes_rate_followers,comments_rate_followers,views_per_follower,like_view_rate,comment_view_rate,week,is_video,is_reel,posting_time_bin,caption_length_bin,hashtags_count_bin,emoji_count_bin,engagement_level,business_size_bin,high_engagement,high_view_rate,high_comment_rate,_clean_text,topic_id,topic_probability,business_label,topic_description
Vanilla Palestine,Cafe,139000.0,2025-02-05 00:00:00,0.0,Wednesday,2,Reel,شاركونا إجابتكم بالتعليقات 👇 #فانيلا_اليوم_وكل_يوم #vanilla_today_and_everyday,83,2,1,106.0,7.0,15200.0,Arabic,True,False,0.0,False,False,False,True,False,True,"['فانيلا_اليوم_وكل_يوم', 'vanilla_today_and_everyday']",113.0,0.0008129496,0.0007625899,5.03597e-05,0.109352518,0.0074342105,113.0,0.0008129496,0.0007625899,5.03597e-05,0.109352518,0.0069736842,0.0004605263,2025-02-03/2025-02-09,0,1,night,medium,few,few,low,medium,0,0,0,شاركونا اجابتكم بالتعليقات,3,0.18245983123779297,رسايل الصفحه عبر,Keyword-driven content theme detected from captions.
Vanilla Palestine,Cafe,139000.0,2025-02-04 00:00:00,0.0,Tuesday,2,Reel,What’s your favorite cake ❤️🍰? #VANILLA_Today_and_everyday,65,1,2,71.0,0.0,11000.0,English,True,False,0.0,False,False,False,False,False,True,['vanilla_today_and_everyday'],71.0,0.0005107914,0.0005107914,0.0,0.0791366906,0.0064545455,71.0,0.0005107914,0.0005107914,0.0,0.0791366906,0.0064545455,0.0,2025-02-03/2025-02-09,0,1,night,medium,few,few,low,medium,0,0,0,what s your favorite cake,4,0.4345681667327881,كريم Homemade,Keyword-driven content theme detected from captions.
Vanilla Palestine,Cafe,139000.0,2025-02-01 00:00:00,0.0,Saturday,2,Reel,كل يوم له بداية… وأجمل بداية بطاقة إيجابية #فانيلا_اليوم_وكل_يوم,72,1,0,153.0,1.0,12500.0,Arabic,False,False,0.0,False,False,False,True,False,False,['فانيلا_اليوم_وكل_يوم'],154.0,0.0011079137,0.0011007194,7.1942e-06,0.0899280576,0.01232,154.0,0.0011079137,0.0011007194,7.1942e-06,0.0899280576,0.01224,8e-05,2025-01-27/2025-02-02,0,1,night,medium,few,none,low,medium,0,0,0,كل له بدايه واجمل بدايه بطاقه ايجابيه,3,0.18789911270141602,رسايل الصفحه عبر,Keyword-driven content theme detected from captions.
Vanilla Palestine,Cafe,139000.0,2025-01-24 00:00:00,0.0,Friday,1,Reel,ومن أهم فوائدها إنها تذهب الحزن.. التلبينة النبوية.. صحية، فوائدها كثيرة ولذيذة هي طبق تقليدي قديم ذكرها الرسول محمد صلى الله عليه وسلم في أحاديث لها فيها من فوائد وشفاء #فانيلا_اليوم_وكل_يوم #vanilla_today_and_everyday,239,2,0,1313.0,0.0,214000.0,Arabic,False,False,0.0,False,True,False,True,False,False,"['فانيلا_اليوم_وكل_يوم', 'vanilla_today_and_everyday']",1313.0,0.0094460432,0.0094460432,0.0,1.5395683453,0.006135514,1313.0,0.0094460432,0.0094460432,0.0,1.5395683453,0.006135514,0.0,2025-01-20/2025-01-26,0,1,night,long,few,none,high,medium,1,0,0,ومن اهم فوايدها انها تذهب الحزن التلبينه النبويه صحيه، فوايدها كثيره ولذيذه هي طبق تقليدي قديم ذكرها الرسول محمد صلي الله عليه وسلم في احاديث لها فيها من فوايد وشفاء,5,0.21246212720870972,كيك فانيلا,Keyword-driven content theme detected from captions.
Vanilla Palestine,Cafe,139000.0,2023-10-03 00:00:00,0.0,Tuesday,10,Reel,استمر بالأكل أنت بأمان 😜🤤 #فانيلا_اليوم_وكل_يوم #طعام #وزن #أكل #كيك VANILLA #Today_and_Everyday #Food #Eating #Cake #Desserts,142,10,2,963.0,5.0,78200.0,Mixed,False,False,0.0,False,False,False,True,False,False,"['فانيلا_اليوم_وكل_يوم', 'طعام', 'وزن', 'أكل', 'كيك', 'today_and_everyday', 'food', 'eating', 'cake', 'desserts']",968.0,0.0069640288,0.0069280576,3.59712e-05,0.5625899281,0.0123785166,968.0,0.0069640288,0.0069280576,3.59712e-05,0.5625899281,0.012314578,6.39386e-05,2023-10-02/2023-10-08,0,1,night,long,many,few,medium,medium,0,0,0,استمر بالاكل انت بامان vanilla,2,0.34593671560287476,Vanilla تشيزكيك,Keyword-driven content theme detected from captions.
Vanilla Palestine,Cafe,139000.0,2023-10-01 00:00:00,0.0,Sunday,10,Reel,شرب القهوة بالليل يؤذي المعدة؟ 🤔 #فانيلا_اليوم_وكل_يوم #قهوة #الليل VANILLA #Today_and_Everyday #Coffee #Night,123,6,1,442.0,2.0,37600.0,Mixed,False,False,0.0,False,False,False,True,False,False,"['فانيلا_اليوم_وكل_يوم', 'قهوة', 'الليل', 'today_and_everyday', 'coffee', 'night']",444.0,0.0031942446,0.0031798561,1.43885e-05,0.2705035971,0.0118085106,444.0,0.0031942446,0.0031798561,1.43885e-05,0.2705035971,0.0117553191,5.31915e-05,2023-09-25/2023-10-01,0,1,night,medium,many,few,low,medium,0,0,0,شرب القهوه بالليل يوذي المعده؟ vanilla,2,0.429690420627594,Vanilla تشيزكيك,Keyword-driven content theme detected from captions.
Vanilla Palestine,Cafe,139000.0,2023-09-23 00:00:00,0.0,Saturday,9,Reel,عرفتوا ايش هو الريجيم الصحيح؟ 🤔 #ريجيم #طعام #حلويات #فانيلا_اليوم_وكل_يوم #كيك #قهوة Diet #Food #Desserts #VANILLA #Today_and_Everyday #Cake #Coffee,177,12,1,557.0,5.0,103000.0,Mixed,True,False,0.0,False,False,False,True,False,True,"['ريجيم', 'طعام', 'حلويات', 'فانيلا_اليوم_وكل_يوم', 'كيك', 'قهوة', 'food', 'desserts', 'vanilla', 'today_and_everyday', 'cake', 'coffee']",562.0,0.0040431655,0.0040071942,3.59712e-05,0.7410071942,0.0054563107,562.0,0.0040431655,0.0040071942,3.59712e-05,0.7410071942,0.005407767,4.85437e-05,2023-09-18/2023-09-24,0,1,night,long,many,few,medium,medium,0,0,0,عرفتوا ايش هو الريجيم الصحيح؟ diet,2,0.13360661268234253,Vanilla تشيزكيك,Keyword-driven content theme detected from captions.
Vanilla Palestine,Cafe,139000.0,2023-09-20 00:00:00,0.0,Wednesday,9,Reel,تنفسنا أم لِجين ستبقى حينين 💕 PS💕,35,0,2,327.0,1.0,13100.0,Arabic,False,False,0.0,False,False,False,True,False,False,[],328.0,0.0023597122,0.002352518,7.1942e-06,0.0942446043,0.0250381679,328.0,0.0023597122,0.002352518,7.1942e-06,0.0942446043,0.0249618321,7.63359e-05,2023-09-18/2023-09-24,0,1,night,short,none,few,low,medium,0,0,0,تنفسنا ام لجين ستبقي حينين ps,1,0.18509554862976074,نابلس فانيلا,Keyword-driven content theme detected from captions.
Vanilla Palestine,Cafe,139000.0,2023-09-19 00:00:00,0.0,Tuesday,9,Reel,مين فيكم تركيزه هيك الصبح؟ 😂 #فانيلا_اليوم_وكل_يوم #قهوة #الصباح VANILLA #Today_and_Everyday #Coffee #Morning,124,6,1,467.0,9.0,139000.0,Mixed,True,False,0.0,False,False,False,True,False,True,"['فانيلا_اليوم_وكل_يوم', 'قهوة', 'الصباح', 'today_and_everyday', 'coffee', 'morning']",476.0,0.0034244604,0.0033597122,6.47482e-05,1.0,0.0034244604,476.0,0.0034244604,0.0033597122,6.47482e-05,1.0,0.0033597122,6.47482e-05,2023-09-18/2023-09-24,0,1,night,medium,many,few,low,medium,0,0,0,مين فيكم تركيزه هيك الصبح؟ vanilla,2,0.3423748016357422,Vanilla تشيزكيك,Keyword-driven content theme detected from captions.
Vanilla Palestine,Cafe,139000.0,2023-09-18 00:00:00,0.0,Monday,9,Reel,طول بالك! 😂🤭 لما تتعب بالزينة بالاخر يغير رأيه الزبون ويصير بده اياها برا! #فانيلا_اليوم_وكل_يوم #كيك #زينة #قهوة #طول_بالك VANILLA #Today_and_Everyday #Cake #Coffee,201,8,2,885.0,3.0,146000.0,Mixed,False,False,0.0,False,False,False,True,False,False,"['فانيلا_اليوم_وكل_يوم', 'كيك', 'زينة', 'قهوة', 'طول_بالك', 'today_and_everyday', 'cake', 'coffee']",888.0,0.0063884892,0.0063669065,2.15827e-05,1.0503597122,0.0060821918,888.0,0.0063884892,0.0063669065,2.15827e-05,1.0503597122,0.0060616438,2.05479e-05,2023-09-18/2023-09-24,0,1,night,long,many,few,medium,medium,0,0,0,لما تتعب بالزينه بالاخر يغير رايه الزبون ويصير بده اياها برا vanilla,5,0.5143282413482666,كيك فانيلا,Keyword-driven content theme detected from captions.
