antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,antecedent_len,consequent_len,consequent_item,count,antecedent_count,confidence_lower_bound,antecedents_str,consequent_str,min_support,min_confidence,min_lift,max_antecedent_len
"frozenset({'hashtag=vanilla', 'hashtag=today_and_everyday'})",frozenset({'avg_view_rate'}),0.11267605633802817,0.3380281690140845,0.11267605633802817,1.0,2.9583333333333335,0.07458837532235668,inf,0.746031746031746,2,1,avg_view_rate,8,8,0.6755843804891231,"{hashtag=today_and_everyday, hashtag=vanilla}",{avg_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=vanilla', 'hashtag=فانيلا'})",frozenset({'avg_view_rate'}),0.08450704225352113,0.3380281690140845,0.08450704225352113,1.0,2.9583333333333335,0.05594128149176751,inf,0.7230769230769231,2,1,avg_view_rate,6,6,0.6096569663469354,"{hashtag=vanilla, hashtag=فانيلا}",{avg_view_rate},0.01,0.4,1.2,3
frozenset({'hashtag=today_and_everyday'}),frozenset({'avg_view_rate'}),0.22535211267605634,0.3380281690140845,0.18309859154929578,0.8125,2.4036458333333335,0.10692322951795279,3.5305164319248825,0.7538461538461538,1,1,avg_view_rate,13,16,0.5699064013154177,{hashtag=today_and_everyday},{avg_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=قهوة', 'hashtag=كيك'})",frozenset({'avg_view_rate'}),0.07042253521126761,0.3380281690140845,0.07042253521126761,1.0,2.9583333333333335,0.046617734576472926,inf,0.7121212121212122,2,1,avg_view_rate,5,5,0.565508505247919,"{hashtag=قهوة, hashtag=كيك}",{avg_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=قهوة', 'hashtag=كيك', 'hashtag=today_and_everyday'})",frozenset({'avg_view_rate'}),0.07042253521126761,0.3380281690140845,0.07042253521126761,1.0,2.9583333333333335,0.046617734576472926,inf,0.7121212121212122,3,1,avg_view_rate,5,5,0.565508505247919,"{hashtag=today_and_everyday, hashtag=قهوة, hashtag=كيك}",{avg_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=coffee', 'hashtag=كيك'})",frozenset({'avg_view_rate'}),0.07042253521126761,0.3380281690140845,0.07042253521126761,1.0,2.9583333333333335,0.046617734576472926,inf,0.7121212121212122,2,1,avg_view_rate,5,5,0.565508505247919,"{hashtag=coffee, hashtag=كيك}",{avg_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=coffee', 'hashtag=كيك', 'hashtag=today_and_everyday'})",frozenset({'avg_view_rate'}),0.07042253521126761,0.3380281690140845,0.07042253521126761,1.0,2.9583333333333335,0.046617734576472926,inf,0.7121212121212122,3,1,avg_view_rate,5,5,0.565508505247919,"{hashtag=coffee, hashtag=today_and_everyday, hashtag=كيك}",{avg_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=coffee', 'hashtag=كيك', 'hashtag=قهوة'})",frozenset({'avg_view_rate'}),0.07042253521126761,0.3380281690140845,0.07042253521126761,1.0,2.9583333333333335,0.046617734576472926,inf,0.7121212121212122,3,1,avg_view_rate,5,5,0.565508505247919,"{hashtag=coffee, hashtag=قهوة, hashtag=كيك}",{avg_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=فانيلا', 'hashtag=today_and_everyday'})",frozenset({'avg_view_rate'}),0.07042253521126761,0.3380281690140845,0.07042253521126761,1.0,2.9583333333333335,0.046617734576472926,inf,0.7121212121212122,2,1,avg_view_rate,5,5,0.565508505247919,"{hashtag=today_and_everyday, hashtag=فانيلا}",{avg_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=vanilla', 'hashtag=فانيلا', 'hashtag=today_and_everyday'})",frozenset({'avg_view_rate'}),0.07042253521126761,0.3380281690140845,0.07042253521126761,1.0,2.9583333333333335,0.046617734576472926,inf,0.7121212121212122,3,1,avg_view_rate,5,5,0.565508505247919,"{hashtag=today_and_everyday, hashtag=vanilla, hashtag=فانيلا}",{avg_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=اليوم_وكل_يوم', 'hashtag=فانيلا'})",frozenset({'avg_view_rate'}),0.07042253521126761,0.3380281690140845,0.07042253521126761,1.0,2.9583333333333335,0.046617734576472926,inf,0.7121212121212122,2,1,avg_view_rate,5,5,0.565508505247919,"{hashtag=اليوم_وكل_يوم, hashtag=فانيلا}",{avg_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=اليوم_وكل_يوم', 'hashtag=فانيلا', 'hashtag=today_and_everyday'})",frozenset({'avg_view_rate'}),0.07042253521126761,0.3380281690140845,0.07042253521126761,1.0,2.9583333333333335,0.046617734576472926,inf,0.7121212121212122,3,1,avg_view_rate,5,5,0.565508505247919,"{hashtag=today_and_everyday, hashtag=اليوم_وكل_يوم, hashtag=فانيلا}",{avg_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=vanilla', 'hashtag=اليوم_وكل_يوم'})",frozenset({'avg_view_rate'}),0.07042253521126761,0.3380281690140845,0.07042253521126761,1.0,2.9583333333333335,0.046617734576472926,inf,0.7121212121212122,2,1,avg_view_rate,5,5,0.565508505247919,"{hashtag=vanilla, hashtag=اليوم_وكل_يوم}",{avg_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=vanilla', 'hashtag=اليوم_وكل_يوم', 'hashtag=فانيلا'})",frozenset({'avg_view_rate'}),0.07042253521126761,0.3380281690140845,0.07042253521126761,1.0,2.9583333333333335,0.046617734576472926,inf,0.7121212121212122,3,1,avg_view_rate,5,5,0.565508505247919,"{hashtag=vanilla, hashtag=اليوم_وكل_يوم, hashtag=فانيلا}",{avg_view_rate},0.01,0.4,1.2,3
