antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,antecedent_size,consequent_size,consequent_item,count,antecedent_count,antecedents_str,hashtags_clean,reliability,target_score,count_score,lift_score,reliability_score,strength_score,recommendation_score,antecedent_len,recommendation_text,category_col,category_value,action,source,hashtag,high_rate,avg_rate,low_rate,high_lift_like,low_lift_like,fallback_score,recommendation_type
"frozenset({'hashtag=vanilla', 'hashtag=dessert'})",frozenset({'performance=high_view_rate'}),0.05263157894736842,0.3026315789473684,0.05263157894736842,1.0,3.3043478260869565,0.03670360110803324,inf,0.736111111111111,2.0,1.0,performance=high_view_rate,4,4.0,"{hashtag=dessert, hashtag=vanilla}","dessert, vanilla",directional,1.0,0.4,1.0,0.6,3.3043478260869565,0.79,2.0,"Use/test: dessert, vanilla. It appeared in 4 posts; 4 were high_view_rate. Confidence=100%, lift=3.30x, reliability=directional.",sector,Cafes/Restaurants,use,association_rule_category,,,,,,,,
"frozenset({'hashtag=vanilla', 'hashtag=vanilla_cake'})",frozenset({'performance=high_view_rate'}),0.05263157894736842,0.3026315789473684,0.05263157894736842,1.0,3.3043478260869565,0.03670360110803324,inf,0.736111111111111,2.0,1.0,performance=high_view_rate,4,4.0,"{hashtag=vanilla, hashtag=vanilla_cake}","vanilla, vanilla_cake",directional,1.0,0.4,1.0,0.6,3.3043478260869565,0.79,2.0,"Use/test: vanilla, vanilla_cake. It appeared in 4 posts; 4 were high_view_rate. Confidence=100%, lift=3.30x, reliability=directional.",sector,Cafes/Restaurants,use,association_rule_category,,,,,,,,
"frozenset({'hashtag=vanilla', 'hashtag=vanilla_cake', 'hashtag=dessert'})",frozenset({'performance=high_view_rate'}),0.05263157894736842,0.3026315789473684,0.05263157894736842,1.0,3.3043478260869565,0.03670360110803324,inf,0.736111111111111,3.0,1.0,performance=high_view_rate,4,4.0,"{hashtag=dessert, hashtag=vanilla, hashtag=vanilla_cake}","dessert, vanilla, vanilla_cake",directional,1.0,0.4,1.0,0.6,3.3043478260869565,0.79,3.0,"Use/test: dessert, vanilla, vanilla_cake. It appeared in 4 posts; 4 were high_view_rate. Confidence=100%, lift=3.30x, reliability=directional.",sector,Cafes/Restaurants,use,association_rule_category,,,,,,,,
"frozenset({'hashtag=vanilla_today_and_everyday', 'hashtag=vanilla', 'hashtag=dessert'})",frozenset({'performance=high_view_rate'}),0.05263157894736842,0.3026315789473684,0.05263157894736842,1.0,3.3043478260869565,0.03670360110803324,inf,0.736111111111111,3.0,1.0,performance=high_view_rate,4,4.0,"{hashtag=dessert, hashtag=vanilla, hashtag=vanilla_today_and_everyday}","dessert, vanilla, vanilla_today_and_everyday",directional,1.0,0.4,1.0,0.6,3.3043478260869565,0.79,3.0,"Use/test: dessert, vanilla, vanilla_today_and_everyday. It appeared in 4 posts; 4 were high_view_rate. Confidence=100%, lift=3.30x, reliability=directional.",sector,Cafes/Restaurants,use,association_rule_category,,,,,,,,
"frozenset({'hashtag=vanilla_today_and_everyday', 'hashtag=vanilla', 'hashtag=vanilla_cake'})",frozenset({'performance=high_view_rate'}),0.05263157894736842,0.3026315789473684,0.05263157894736842,1.0,3.3043478260869565,0.03670360110803324,inf,0.736111111111111,3.0,1.0,performance=high_view_rate,4,4.0,"{hashtag=vanilla, hashtag=vanilla_cake, hashtag=vanilla_today_and_everyday}","vanilla, vanilla_cake, vanilla_today_and_everyday",directional,1.0,0.4,1.0,0.6,3.3043478260869565,0.79,3.0,"Use/test: vanilla, vanilla_cake, vanilla_today_and_everyday. It appeared in 4 posts; 4 were high_view_rate. Confidence=100%, lift=3.30x, reliability=directional.",sector,Cafes/Restaurants,use,association_rule_category,,,,,,,,
frozenset({'hashtag=desserts'}),frozenset({'performance=low_view_rate'}),0.05263157894736842,0.5131578947368421,0.05263157894736842,1.0,1.9487179487179485,0.025623268698060937,inf,0.5138888888888887,1.0,1.0,performance=low_view_rate,4,4.0,{hashtag=desserts},desserts,directional,-1.0,0.4,0.47435897435897423,0.6,1.9487179487179485,0.4848717948717949,,"Avoid or test carefully: desserts. It appeared in 4 posts; 4 were low_view_rate. Confidence=100%, lift=1.95x, reliability=directional. This is a risk signal, not proof of causality.",sector,Cafes/Restaurants,avoid,association_rule_category,,,,,,,,
"frozenset({'hashtag=today_and_everyday', 'hashtag=desserts'})",frozenset({'performance=low_view_rate'}),0.05263157894736842,0.5131578947368421,0.05263157894736842,1.0,1.9487179487179485,0.025623268698060937,inf,0.5138888888888887,2.0,1.0,performance=low_view_rate,4,4.0,"{hashtag=desserts, hashtag=today_and_everyday}","desserts, today_and_everyday",directional,-1.0,0.4,0.47435897435897423,0.6,1.9487179487179485,0.4848717948717949,,"Avoid or test carefully: desserts, today_and_everyday. It appeared in 4 posts; 4 were low_view_rate. Confidence=100%, lift=1.95x, reliability=directional. This is a risk signal, not proof of causality.",sector,Cafes/Restaurants,avoid,association_rule_category,,,,,,,,
"frozenset({'hashtag=desserts', 'hashtag=كيك'})",frozenset({'performance=low_view_rate'}),0.05263157894736842,0.5131578947368421,0.05263157894736842,1.0,1.9487179487179485,0.025623268698060937,inf,0.5138888888888887,2.0,1.0,performance=low_view_rate,4,4.0,"{hashtag=desserts, hashtag=كيك}","desserts, كيك",directional,-1.0,0.4,0.47435897435897423,0.6,1.9487179487179485,0.4848717948717949,,"Avoid or test carefully: desserts, كيك. It appeared in 4 posts; 4 were low_view_rate. Confidence=100%, lift=1.95x, reliability=directional. This is a risk signal, not proof of causality.",sector,Cafes/Restaurants,avoid,association_rule_category,,,,,,,,
"frozenset({'hashtag=today_and_everyday', 'hashtag=desserts', 'hashtag=كيك'})",frozenset({'performance=low_view_rate'}),0.05263157894736842,0.5131578947368421,0.05263157894736842,1.0,1.9487179487179485,0.025623268698060937,inf,0.5138888888888887,3.0,1.0,performance=low_view_rate,4,4.0,"{hashtag=desserts, hashtag=today_and_everyday, hashtag=كيك}","desserts, today_and_everyday, كيك",directional,-1.0,0.4,0.47435897435897423,0.6,1.9487179487179485,0.4848717948717949,,"Avoid or test carefully: desserts, today_and_everyday, كيك. It appeared in 4 posts; 4 were low_view_rate. Confidence=100%, lift=1.95x, reliability=directional. This is a risk signal, not proof of causality.",sector,Cafes/Restaurants,avoid,association_rule_category,,,,,,,,
"frozenset({'hashtag=desserts', 'hashtag=cake'})",frozenset({'performance=low_view_rate'}),0.039473684210526314,0.5131578947368421,0.039473684210526314,1.0,1.9487179487179485,0.019217451523545703,inf,0.5068493150684931,2.0,1.0,performance=low_view_rate,3,3.0,"{hashtag=cake, hashtag=desserts}","cake, desserts",directional,-1.0,0.3,0.47435897435897423,0.6,1.9487179487179485,0.45987179487179486,,"Avoid or test carefully: cake, desserts. It appeared in 3 posts; 3 were low_view_rate. Confidence=100%, lift=1.95x, reliability=directional. This is a risk signal, not proof of causality.",sector,Cafes/Restaurants,avoid,association_rule_category,,,,,,,,
,,,,,,,,,,,,,7,,,,fallback_directional,,,,,,,,"Avoid/test carefully: #vanilla_today_and_everyday based on fallback hashtag-level stats. Count=7, high_rate=0%, low_rate=100%, reliability=fallback_directional.",post_type,post,avoid,fallback_hashtag_level_category,vanilla_today_and_everyday,0.0,0.0,1.0,0.0,1.0,0.15,avoid
,,,,,,,,,,,,,5,,,,fallback_directional,,,,,,,,"Avoid/test carefully: #فانيلا_اليوم_وكل_يوم based on fallback hashtag-level stats. Count=5, high_rate=0%, low_rate=100%, reliability=fallback_directional.",post_type,post,avoid,fallback_hashtag_level_category,فانيلا_اليوم_وكل_يوم,0.0,0.0,1.0,0.0,1.0,0.11541354172676302,avoid
,,,,,,,,,,,,,2,,,,fallback_experimental,,,,,,,,"Avoid/test carefully: #vanilla_cake based on fallback hashtag-level stats. Count=2, high_rate=0%, low_rate=100%, reliability=fallback_experimental.",post_type,post,avoid,fallback_hashtag_level_category,vanilla_cake,0.0,0.0,1.0,0.0,1.0,0.032080208393429704,avoid
,,,,,,,,,,,,,2,,,,fallback_experimental,,,,,,,,"Avoid/test carefully: #dessert based on fallback hashtag-level stats. Count=2, high_rate=0%, low_rate=100%, reliability=fallback_experimental.",post_type,post,avoid,fallback_hashtag_level_category,dessert,0.0,0.0,1.0,0.0,1.0,0.032080208393429704,avoid
frozenset({'hashtag=dessert'}),frozenset({'performance=high_view_rate'}),0.06060606060606061,0.3484848484848485,0.06060606060606061,1.0,2.869565217391304,0.03948576675849403,inf,0.6935483870967741,1.0,1.0,performance=high_view_rate,4,4.0,{hashtag=dessert},dessert,directional,1.0,0.4,0.9347826086956521,0.6,2.869565217391304,0.7769565217391304,1.0,"Use/test: dessert. It appeared in 4 posts; 4 were high_view_rate. Confidence=100%, lift=2.87x, reliability=directional.",post_type,reel,use,association_rule_category,,,,,,,,
"frozenset({'hashtag=vanilla', 'hashtag=dessert'})",frozenset({'performance=high_view_rate'}),0.06060606060606061,0.3484848484848485,0.06060606060606061,1.0,2.869565217391304,0.03948576675849403,inf,0.6935483870967741,2.0,1.0,performance=high_view_rate,4,4.0,"{hashtag=dessert, hashtag=vanilla}","dessert, vanilla",directional,1.0,0.4,0.9347826086956521,0.6,2.869565217391304,0.7769565217391304,2.0,"Use/test: dessert, vanilla. It appeared in 4 posts; 4 were high_view_rate. Confidence=100%, lift=2.87x, reliability=directional.",post_type,reel,use,association_rule_category,,,,,,,,
"frozenset({'hashtag=vanilla_cake', 'hashtag=dessert'})",frozenset({'performance=high_view_rate'}),0.06060606060606061,0.3484848484848485,0.06060606060606061,1.0,2.869565217391304,0.03948576675849403,inf,0.6935483870967741,2.0,1.0,performance=high_view_rate,4,4.0,"{hashtag=dessert, hashtag=vanilla_cake}","dessert, vanilla_cake",directional,1.0,0.4,0.9347826086956521,0.6,2.869565217391304,0.7769565217391304,2.0,"Use/test: dessert, vanilla_cake. It appeared in 4 posts; 4 were high_view_rate. Confidence=100%, lift=2.87x, reliability=directional.",post_type,reel,use,association_rule_category,,,,,,,,
"frozenset({'hashtag=vanilla_today_and_everyday', 'hashtag=dessert'})",frozenset({'performance=high_view_rate'}),0.06060606060606061,0.3484848484848485,0.06060606060606061,1.0,2.869565217391304,0.03948576675849403,inf,0.6935483870967741,2.0,1.0,performance=high_view_rate,4,4.0,"{hashtag=dessert, hashtag=vanilla_today_and_everyday}","dessert, vanilla_today_and_everyday",directional,1.0,0.4,0.9347826086956521,0.6,2.869565217391304,0.7769565217391304,2.0,"Use/test: dessert, vanilla_today_and_everyday. It appeared in 4 posts; 4 were high_view_rate. Confidence=100%, lift=2.87x, reliability=directional.",post_type,reel,use,association_rule_category,,,,,,,,
"frozenset({'hashtag=vanilla', 'hashtag=vanilla_cake'})",frozenset({'performance=high_view_rate'}),0.06060606060606061,0.3484848484848485,0.06060606060606061,1.0,2.869565217391304,0.03948576675849403,inf,0.6935483870967741,2.0,1.0,performance=high_view_rate,4,4.0,"{hashtag=vanilla, hashtag=vanilla_cake}","vanilla, vanilla_cake",directional,1.0,0.4,0.9347826086956521,0.6,2.869565217391304,0.7769565217391304,2.0,"Use/test: vanilla, vanilla_cake. It appeared in 4 posts; 4 were high_view_rate. Confidence=100%, lift=2.87x, reliability=directional.",post_type,reel,use,association_rule_category,,,,,,,,
frozenset({'hashtag=desserts'}),frozenset({'performance=low_view_rate'}),0.06060606060606061,0.4393939393939394,0.06060606060606061,1.0,2.2758620689655173,0.0339761248852158,inf,0.5967741935483871,1.0,1.0,performance=low_view_rate,4,4.0,{hashtag=desserts},desserts,directional,-1.0,0.4,0.6379310344827587,0.6,2.2758620689655173,0.5175862068965518,,"Avoid or test carefully: desserts. It appeared in 4 posts; 4 were low_view_rate. Confidence=100%, lift=2.28x, reliability=directional. This is a risk signal, not proof of causality.",post_type,reel,avoid,association_rule_category,,,,,,,,
"frozenset({'hashtag=today_and_everyday', 'hashtag=desserts'})",frozenset({'performance=low_view_rate'}),0.06060606060606061,0.4393939393939394,0.06060606060606061,1.0,2.2758620689655173,0.0339761248852158,inf,0.5967741935483871,2.0,1.0,performance=low_view_rate,4,4.0,"{hashtag=desserts, hashtag=today_and_everyday}","desserts, today_and_everyday",directional,-1.0,0.4,0.6379310344827587,0.6,2.2758620689655173,0.5175862068965518,,"Avoid or test carefully: desserts, today_and_everyday. It appeared in 4 posts; 4 were low_view_rate. Confidence=100%, lift=2.28x, reliability=directional. This is a risk signal, not proof of causality.",post_type,reel,avoid,association_rule_category,,,,,,,,
